i value
1.983 1234.246
2.500 1197.724
3.017 1147.478
3.533 1120.554
4.050 1094.951
4.483 1093.675
5.000 1085.379
5.517 1102.764
6.033 1119.537
6.533 1101.196
7.050 1092.499
7.567 1114.281
8.083 1114.866
8.600 1092.278
9.117 1100.153
9.633 1110.409
10.150 1088.841
10.667 1040.135
11.183 1057.706
11.683 1080.839
12.200 1072.662
12.717 1088.469
13.233 1062.787
13.750 1056.294
14.267 1068.093
14.783 1052.441
15.300 1039.269
15.817 1061.145
16.333 991.655
16.850 963.644
17.350 956.700
17.867 943.513
18.383 990.028
18.900 1025.066
