i value
1 1114.0066749740122
2 1205.5564367812603
3 1263.5526934407744
4 1243.6450243593342
5 1208.9266923668101
6 1275.7652880666758
7 1181.127167775235
8 1223.8564164813467
9 1222.2548031076528
10 1209.4486511266227
11 945.6480412940444
12 1042.3772749889222
13 1210.3772994349904
14 1348.9344951448415
15 1206.907875785976
16 1152.8657389604325
17 1242.5539444340698
18 1303.5191695561823
19 885.4577859877002
20 944.2860563221366
21 1056.3802970352249
22 1113.551446926377
23 978.5590344669858
24 1186.331178893771
25 903.5629078071586
26 923.9312277642346
27 1179.3253817831073
28 1004.231632495153
29 1129.9530338425182
30 1065.2769400925752
31 1130.123876461659
32 1183.6644622217486
33 1087.3751039444937
34 1074.9573922866884
35 1129.9490856098826
36 1005.357527595497
37 983.3484935801443
38 1154.5739754012038
39 1057.7369241570718
40 1135.7825476923094
41 1132.7384206461684
42 984.5346363024108
43 1004.9027814839887
44 996.0190482893368
45 860.2514841441982
46 898.157467646121
47 1132.2686305253621
48 1153.9583290995813
49 1154.0193731464433
50 1096.7855995277323
51 830.3095015123945
52 1058.1558698553822
53 1003.6308400137792
54 1086.2932876483974
55 1280.269958145133
56 1110.8836564161343
57 998.9647907229208
58 937.0926933909353
