i value
0.000 500.000
0.517 500.000
0.950 500.000
1.467 500.000
1.983 500.000
2.500 500.000
3.017 500.000
3.533 500.000
4.050 500.000
4.483 500.000
5.000 500.000
5.517 500.000
6.033 500.000
6.550 500.000
7.050 500.000
7.567 500.000
8.083 500.000
8.600 500.000
9.117 500.000
9.633 500.000
10.150 500.000
10.667 500.000
11.183 500.000
11.683 500.000
12.200 500.000
12.717 500.000
13.233 500.000
13.750 500.000
14.267 500.000
14.783 500.000
15.300 500.000
15.817 500.000
16.333 500.000
16.850 500.000
17.367 500.000
17.867 500.000
18.383 500.000
18.900 500.000
