i value
0.000 442.048
0.517 442.587
0.950 441.352
1.467 441.675
1.983 440.149
2.500 439.023
3.017 441.011
3.533 442.830
4.050 436.792
4.483 438.641
5.000 437.806
5.517 438.097
6.033 437.961
6.550 440.071
7.050 436.754
7.567 437.137
8.083 437.170
8.600 437.779
9.117 435.193
9.633 437.878
10.150 437.313
10.667 435.270
11.183 437.160
11.683 436.776
12.200 435.830
12.717 437.836
13.233 436.187
13.750 435.478
14.267 437.719
14.783 439.585
15.300 437.662
15.817 437.092
16.333 437.872
16.850 435.110
17.367 435.771
17.867 433.182
18.383 435.031
18.900 433.882
