i value
1.983 0.699
2.500 0.699
3.017 0.695
3.450 0.696
3.867 0.696
3.967 0.699
4.383 0.699
4.483 0.704
4.900 0.705
5.000 0.707
5.417 0.708
5.500 0.707
5.933 0.704
6.017 0.703
6.450 0.705
6.533 0.706
6.967 0.707
7.050 0.707
7.400 0.704
7.567 0.703
7.833 0.703
8.083 0.701
8.333 0.703
8.517 0.706
8.850 0.704
9.033 0.699
9.367 0.696
9.533 0.695
9.883 0.696
10.050 0.697
10.400 0.700
10.567 0.703
10.833 0.701
11.083 0.697
11.333 0.696
11.600 0.696
11.850 0.697
12.033 0.702
12.367 0.705
12.533 0.703
12.883 0.702
13.050 0.703
13.317 0.699
13.567 0.700
13.833 0.705
14.083 0.708
14.333 0.712
14.600 0.715
14.850 0.716
15.117 0.715
15.367 0.710
15.633 0.704
15.883 0.701
16.150 0.698
16.400 0.696
16.667 0.697
16.917 0.696
17.183 0.696
17.433 0.698
17.683 0.701
17.950 0.704
18.200 0.706
18.467 0.706
18.717 0.705
18.967 0.701
19.233 0.699
