i value
0.000 74.990
0.433 72.934
0.950 75.058
1.467 74.848
1.983 71.855
2.500 72.505
3.017 75.760
3.450 74.008
3.867 73.747
3.967 74.057
4.383 74.290
4.483 75.139
4.900 75.957
5.000 74.206
5.417 72.482
5.500 72.253
5.933 74.172
6.017 72.926
6.450 72.011
6.533 71.644
6.967 72.368
7.050 74.540
7.400 73.673
7.567 72.675
7.833 72.817
8.083 72.786
8.333 72.267
8.517 70.667
8.850 69.796
9.033 71.107
9.367 72.830
9.533 73.903
9.883 74.628
10.050 74.555
10.400 72.941
10.567 71.409
10.833 72.068
11.083 73.928
11.333 72.442
11.600 72.239
11.850 72.981
12.033 73.944
12.367 75.788
12.533 73.218
12.883 71.877
13.050 73.355
13.317 72.555
13.567 72.328
13.833 72.545
14.083 74.019
14.333 74.130
14.600 71.263
14.850 71.742
15.117 74.079
15.367 74.285
15.633 72.068
15.883 72.352
16.150 73.806
16.400 73.242
16.667 72.144
16.917 72.630
17.183 70.799
17.433 69.438
17.683 72.352
17.950 73.232
18.200 71.233
18.467 70.040
18.717 70.943
18.967 72.726
19.233 73.490
