i value
1 445.1391537580645
2 446.41266248387103
3 439.46511849999996
4 441.2092849916667
5 435.2756106829265
6 435.67866325210053
7 439.9359825775865
8 435.78172671304327
9 434.7324491551724
10 434.6777751818183
11 435.4225726999996
12 437.36151925000013
13 439.49353340740697
14 438.7735195803585
15 435.7882698684218
16 437.402345405171
17 438.80703553571533
18 439.426872485981
19 438.0962805625004
20 437.52943530630506
21 440.0711917563052
22 438.14310222047226
23 433.913178576
24 435.4578473953505
25 438.14565168269417
26 443.18866623622023
27 436.3466078318569
28 442.86230578048844
29 443.86009918279717
30 444.5365563214312
31 443.5966960961501
32 441.2884281507937
33 443.2131433114753
34 439.5998461147557
35 438.8164427954506
36 436.7193349826069
37 440.7553546864389
38 435.07556310483824
39 440.7248607637749
40 434.12910912903175
41 438.51435397499785
42 436.78386138461605
43 441.9550326194705
44 436.8098201186444
45 435.4837349826065
46 442.0073131160711
47 439.1308592636392
48 436.67228463461373
49 437.12586150467223
50 440.6601273008145
51 441.7579229032253
52 440.8515446037713
53 438.2474373050855
54 435.17929646363484
55 437.4951848674689
56 438.7184728720002
57 436.87710473684007
58 435.8679709649122
