i value
0.000 0.920
0.517 0.920
1.033 0.920
1.550 0.920
2.083 0.920
2.517 0.920
2.950 0.920
3.467 0.920
3.983 0.920
4.500 0.920
5.017 0.920
5.450 0.920
5.950 0.920
6.467 0.920
6.983 0.920
7.500 0.920
8.017 0.920
8.450 0.920
8.950 0.920
9.467 0.920
9.983 0.920
10.417 0.920
10.917 0.920
11.433 0.920
11.950 0.920
12.467 0.920
12.883 0.920
13.400 0.920
13.917 0.920
14.517 0.920
15.033 0.920
15.467 0.920
15.983 0.920
16.483 0.920
17.000 0.920
17.517 0.920
18.033 0.920
18.467 0.920
18.967 0.920
19.483 0.920
20.000 0.920
20.517 0.920
21.033 0.920
21.533 0.920
22.050 0.920
22.567 0.920
23.083 0.920
23.583 0.920
24.100 0.920
24.617 0.920
25.133 0.920
25.650 0.920
26.150 0.920
26.667 0.920
27.183 0.920
27.700 0.920
28.200 0.920
28.717 0.920
29.233 0.920
29.750 0.920
30.267 0.920
30.767 0.920
31.283 0.920
31.800 0.920
32.317 0.920
32.833 0.920
33.350 0.920
33.850 0.920
34.367 0.920
34.883 0.920
35.400 0.920
35.917 0.920
36.433 0.920
36.933 0.920
37.450 0.920
37.967 0.920
38.483 0.920
39.000 0.920
39.517 0.920
40.033 0.920
40.550 0.920
41.050 0.920
41.567 0.920
42.083 0.920
42.600 0.920
43.117 0.920
43.633 0.920
44.150 0.920
44.667 0.920
45.167 0.920
45.700 0.920
46.200 0.920
46.717 0.920
47.233 0.920
47.733 0.920
48.250 0.920
48.767 0.920
49.267 0.920
49.783 0.920
50.300 0.920
50.817 0.920
51.317 0.920
51.833 0.920
52.350 0.920
52.850 0.920
53.367 0.920
53.883 0.920
54.400 0.920
54.983 0.920
55.500 0.920
56.017 0.920
56.600 0.920
57.200 0.920
57.800 0.920
58.317 0.920
58.817 0.920
59.333 0.920
