i value
2.083 189.815
2.517 189.628
2.950 189.376
3.467 189.396
3.983 189.313
4.500 190.156
5.017 191.283
5.450 192.045
5.950 193.353
6.467 194.956
6.983 194.341
7.500 194.185
8.017 194.575
8.450 193.394
8.950 192.718
9.467 192.650
9.983 192.501
10.417 192.267
10.917 192.893
11.433 192.775
11.950 192.568
12.467 192.135
12.883 192.140
13.400 190.977
13.917 189.444
14.517 189.268
15.033 189.113
15.467 189.516
15.983 191.727
16.483 193.932
17.000 193.953
17.517 194.487
18.033 193.414
18.467 191.453
18.967 189.712
19.483 189.414
20.000 189.355
20.517 189.415
21.033 189.065
21.533 190.108
22.050 190.755
22.567 190.669
23.083 191.214
23.583 191.413
24.100 191.509
24.617 191.237
25.133 191.186
25.650 190.691
26.150 191.099
26.667 190.787
27.183 190.285
27.700 189.805
28.200 189.937
28.717 190.231
29.233 189.584
29.750 190.217
30.267 191.123
30.767 191.855
31.283 191.961
31.800 192.957
32.317 192.609
32.833 191.983
33.350 192.142
33.850 191.602
34.367 191.223
34.883 191.192
35.400 191.391
35.917 191.056
36.433 191.104
36.933 191.676
37.450 191.893
37.967 192.138
38.483 191.999
39.000 192.693
39.517 192.998
40.033 193.439
40.550 194.029
41.050 194.127
41.567 194.208
42.083 194.056
42.600 194.119
43.117 193.746
43.633 192.904
44.150 193.027
44.667 193.050
45.167 192.294
45.700 193.793
46.200 194.080
46.717 193.104
47.233 192.953
47.733 192.698
48.250 190.836
48.767 191.326
49.267 192.036
49.783 191.150
50.300 191.200
50.817 191.847
51.317 190.941
51.833 190.170
52.350 190.116
52.850 189.965
53.367 189.597
53.883 189.778
54.400 190.324
54.983 190.609
55.500 190.631
56.017 190.299
56.600 190.870
57.200 190.426
57.800 190.910
58.317 191.592
58.817 191.123
59.333 190.474
