i value
0.000 1.000
0.517 1.000
1.033 1.000
1.550 1.000
2.083 1.000
2.517 1.000
2.950 1.000
3.467 1.000
3.983 1.000
4.500 1.000
5.017 1.000
5.450 1.000
5.950 0.998
6.467 1.000
6.983 1.000
7.500 1.000
8.017 1.000
8.450 1.000
8.950 0.997
9.467 1.000
9.983 1.000
10.417 1.000
10.917 1.000
11.433 1.000
11.950 1.000
12.467 1.000
12.883 1.000
13.400 1.000
13.917 1.000
14.517 1.000
15.033 1.000
15.467 1.000
15.983 1.000
16.483 1.000
17.000 1.000
17.517 1.000
18.033 1.000
18.467 1.000
18.967 1.000
19.483 1.000
20.000 1.000
20.517 1.000
21.033 1.000
21.533 1.000
22.050 1.000
22.567 1.000
23.083 1.000
23.583 1.000
24.100 1.000
24.617 1.000
25.133 1.000
25.650 1.000
26.150 1.000
26.667 1.000
27.183 1.000
27.700 0.998
28.200 1.000
28.717 1.000
29.233 1.000
29.750 1.000
30.267 1.000
30.767 1.000
31.283 1.000
31.800 1.000
32.317 1.000
32.833 0.998
33.350 1.000
33.850 1.000
34.367 1.000
34.883 1.000
35.400 1.000
35.917 1.000
36.433 1.000
36.933 1.000
37.450 1.000
37.967 1.000
38.483 1.000
39.000 1.000
39.517 1.000
40.033 1.000
40.550 1.000
41.050 1.000
41.567 1.000
42.083 1.000
42.600 1.000
43.117 1.000
43.633 0.998
44.150 1.000
44.667 1.000
45.167 1.000
45.700 1.000
46.200 1.000
46.717 1.000
47.233 1.000
47.733 1.000
48.250 1.000
48.767 1.000
49.267 1.000
49.783 1.000
50.300 1.000
50.817 1.000
51.317 1.000
51.833 1.000
52.350 1.000
52.850 1.000
53.367 1.000
53.883 1.000
54.400 1.000
54.983 1.000
55.500 1.000
56.017 1.000
56.600 1.000
57.200 1.000
57.800 0.996
58.317 1.000
58.817 1.000
59.333 1.000
