i value
0.000 500.000
0.517 500.000
1.033 500.000
1.550 500.000
2.083 500.000
2.517 500.000
2.950 500.000
3.467 500.000
3.983 500.000
4.500 500.000
5.017 500.000
5.450 500.000
5.950 500.000
6.467 500.000
6.983 500.000
7.500 500.000
8.017 500.000
8.450 500.000
8.950 500.000
9.467 500.000
9.983 500.000
10.417 500.000
10.917 500.000
11.433 500.000
11.950 500.000
12.467 500.000
12.883 500.000
13.400 500.000
13.917 500.000
14.517 500.000
15.033 500.000
15.467 500.000
15.983 500.000
16.483 500.000
17.000 500.000
17.517 500.000
18.033 500.000
18.467 500.000
18.967 500.000
19.483 500.000
20.000 500.000
20.517 500.000
21.033 500.000
21.533 500.000
22.050 500.000
22.567 500.000
23.083 500.000
23.583 500.000
24.100 500.000
24.617 500.000
25.133 500.000
25.650 500.000
26.150 500.000
26.667 500.000
27.183 500.000
27.700 500.000
28.200 500.000
28.717 500.000
29.233 500.000
29.750 500.000
30.267 500.000
30.767 500.000
31.283 500.000
31.800 500.000
32.317 500.000
32.833 500.000
33.350 500.000
33.850 500.000
34.367 500.000
34.883 500.000
35.400 500.000
35.917 500.000
36.433 500.000
36.933 500.000
37.450 500.000
37.967 500.000
38.483 500.000
39.000 500.000
39.517 500.000
40.033 500.000
40.550 500.000
41.050 500.000
41.567 500.000
42.083 500.000
42.600 500.000
43.117 500.000
43.633 500.000
44.150 500.000
44.667 500.000
45.167 500.000
45.700 500.000
46.200 500.000
46.717 500.000
47.233 500.000
47.733 500.000
48.250 500.000
48.767 500.000
49.267 500.000
49.783 500.000
50.300 500.000
50.817 500.000
51.317 500.000
51.833 500.000
52.350 500.000
52.850 500.000
53.367 500.000
53.883 500.000
54.400 500.000
54.983 500.000
55.500 500.000
56.017 500.000
56.600 500.000
57.200 500.000
57.800 500.000
58.317 500.000
58.817 500.000
59.333 500.000
