i value
4.150 0.901
4.667 0.901
5.183 0.901
5.700 0.901
6.217 0.901
6.733 0.901
7.167 0.901
7.683 0.901
8.183 0.970
8.700 0.970
9.217 0.969
9.733 0.969
10.250 0.968
10.750 0.969
11.267 0.969
11.783 0.969
12.300 0.969
12.817 0.969
13.333 0.969
13.833 0.966
14.350 0.967
15.383 0.967
15.633 0.967
15.900 0.967
16.150 0.967
16.417 0.967
16.583 0.967
16.933 0.967
17.100 0.967
17.433 0.981
17.600 0.981
17.950 0.980
18.117 0.978
18.467 0.978
18.633 0.978
18.983 0.978
19.150 0.979
19.500 0.979
19.667 0.979
20.017 0.978
20.167 0.977
20.517 0.977
20.683 0.977
21.033 0.977
21.200 0.977
21.550 0.977
21.717 0.978
22.067 0.977
22.233 0.976
22.583 0.976
22.750 0.977
23.083 0.977
23.250 0.978
23.600 0.979
23.767 0.978
24.117 0.977
24.283 0.977
24.633 0.976
24.800 0.975
25.150 0.975
25.317 0.974
25.667 0.975
25.817 0.976
26.167 0.976
26.333 0.977
26.683 0.978
26.850 0.976
27.200 0.976
27.367 0.977
27.717 0.978
27.883 0.978
28.233 0.977
28.383 0.977
28.733 0.975
28.900 0.973
29.250 0.972
29.417 0.973
29.767 0.973
29.933 0.973
30.283 0.975
30.433 0.975
30.800 0.975
30.950 0.976
31.317 0.977
31.467 0.977
31.817 0.975
31.983 0.974
32.333 0.973
32.500 0.972
32.850 0.972
33.017 0.975
33.367 0.976
33.533 0.975
33.883 0.976
34.033 0.976
34.400 0.975
34.550 0.976
34.917 0.976
35.067 0.975
35.433 0.975
35.583 0.975
35.933 0.974
36.100 0.974
36.450 0.975
36.617 0.975
36.967 0.975
37.133 0.975
37.483 0.975
37.650 0.974
38.000 0.974
38.150 0.974
38.517 0.975
38.667 0.976
39.033 0.977
39.183 0.977
39.550 0.977
39.700 0.976
40.067 0.975
40.217 0.974
40.583 0.973
40.733 0.973
41.100 0.975
41.250 0.977
41.617 0.978
41.767 0.979
42.117 0.979
42.283 0.978
42.650 0.978
42.800 0.979
43.150 0.979
43.317 0.980
43.667 0.981
43.817 0.980
44.183 0.979
44.350 0.979
44.700 0.979
44.850 0.979
45.217 0.978
45.383 0.978
45.733 0.977
45.883 0.977
46.250 0.977
46.400 0.976
46.767 0.976
46.917 0.977
47.267 0.977
47.417 0.976
47.783 0.976
47.933 0.975
48.300 0.973
48.450 0.971
48.817 0.971
48.967 0.972
49.317 0.974
49.467 0.977
49.833 0.979
50.000 0.978
50.350 0.977
50.500 0.976
50.867 0.976
51.017 0.975
51.367 0.975
51.533 0.974
51.883 0.974
52.050 0.975
52.483 0.975
52.550 0.976
52.983 0.978
53.150 0.977
53.500 0.976
53.667 0.975
54.100 0.975
54.267 0.975
54.700 0.976
54.867 0.976
55.217 0.975
55.367 0.974
55.717 0.973
55.883 0.972
56.317 0.972
56.483 0.975
56.917 0.977
57.083 0.978
57.517 0.978
57.683 0.977
58.017 0.976
58.200 0.976
58.533 0.976
58.883 0.974
59.033 0.973
