i value
0.000 0.870
0.517 0.870
1.033 0.870
1.567 0.870
2.083 0.870
2.600 0.870
3.117 0.870
3.633 0.870
4.150 0.870
4.667 0.870
5.183 0.870
5.700 0.870
6.217 0.870
6.733 0.870
7.167 0.870
7.683 0.870
8.183 0.870
8.700 0.870
9.217 0.870
9.733 0.870
10.250 0.870
10.750 0.870
11.267 0.870
11.783 0.870
12.300 0.870
12.817 0.870
13.333 0.870
13.833 0.870
14.350 0.870
15.383 0.870
15.633 0.870
15.900 0.870
16.150 0.870
16.417 0.870
16.583 0.870
16.933 0.870
17.100 0.870
17.433 0.870
17.600 0.870
17.950 0.870
18.117 0.870
18.467 0.870
18.633 0.870
18.983 0.870
19.150 0.870
19.500 0.870
19.667 0.870
20.017 0.870
20.167 0.870
20.517 0.870
20.683 0.870
21.033 0.870
21.200 0.870
21.550 0.870
21.717 0.870
22.067 0.870
22.233 0.870
22.583 0.870
22.750 0.870
23.083 0.870
23.250 0.870
23.600 0.870
23.767 0.870
24.117 0.870
24.283 0.870
24.633 0.870
24.800 0.870
25.150 0.870
25.317 0.870
25.667 0.870
25.817 0.870
26.167 0.870
26.333 0.870
26.683 0.870
26.850 0.870
27.200 0.870
27.367 0.870
27.717 0.870
27.883 0.870
28.233 0.870
28.383 0.870
28.733 0.870
28.900 0.870
29.250 0.870
29.417 0.870
29.767 0.870
29.933 0.870
30.283 0.870
30.433 0.870
30.800 0.870
30.950 0.870
31.317 0.870
31.467 0.870
31.817 0.870
31.983 0.870
32.333 0.870
32.500 0.870
32.850 0.870
33.017 0.870
33.367 0.870
33.533 0.870
33.883 0.870
34.033 0.870
34.400 0.870
34.550 0.870
34.917 0.870
35.067 0.870
35.433 0.870
35.583 0.870
35.933 0.870
36.100 0.870
36.450 0.870
36.617 0.870
36.967 0.870
37.133 0.870
37.483 0.870
37.650 0.870
38.000 0.870
38.150 0.870
38.517 0.870
38.667 0.870
39.033 0.870
39.183 0.870
39.550 0.870
39.700 0.870
40.067 0.870
40.217 0.870
40.583 0.870
40.733 0.870
41.100 0.870
41.250 0.870
41.617 0.870
41.767 0.870
42.117 0.870
42.283 0.870
42.650 0.870
42.800 0.870
43.150 0.870
43.317 0.870
43.667 0.870
43.817 0.870
44.183 0.870
44.350 0.870
44.700 0.870
44.850 0.870
45.217 0.870
45.383 0.870
45.733 0.870
45.883 0.870
46.250 0.870
46.400 0.870
46.767 0.870
46.917 0.870
47.267 0.870
47.417 0.870
47.783 0.870
47.933 0.870
48.300 0.870
48.450 0.870
48.817 0.870
48.967 0.870
49.317 0.870
49.467 0.870
49.833 0.870
50.000 0.870
50.350 0.870
50.500 0.870
50.867 0.870
51.017 0.870
51.367 0.870
51.533 0.870
51.883 0.870
52.050 0.870
52.483 0.870
52.550 0.870
52.983 0.870
53.150 0.870
53.500 0.870
53.667 0.870
54.100 0.870
54.267 0.870
54.700 0.870
54.867 0.870
55.217 0.870
55.367 0.870
55.717 0.870
55.883 0.870
56.317 0.870
56.483 0.870
56.917 0.870
57.083 0.870
57.517 0.870
57.683 0.870
58.017 0.870
58.200 0.870
58.533 0.870
58.883 0.870
59.033 0.870
