i value
0.000 0.838
0.517 0.837
1.033 0.832
1.567 0.841
2.083 0.878
2.600 0.914
3.117 0.909
3.633 0.909
4.150 0.894
4.667 0.843
5.183 0.962
5.700 0.969
6.217 0.971
6.733 0.974
7.167 0.968
7.683 0.968
8.183 0.968
8.700 0.971
9.217 0.967
9.733 0.968
10.250 0.966
10.750 0.971
11.267 0.970
11.783 0.971
12.300 0.967
12.817 0.968
13.333 0.970
13.833 0.956
14.350 0.975
15.383 0.957
15.633 0.984
15.900 0.985
16.150 0.983
16.417 0.983
16.583 0.984
16.933 0.981
17.100 0.980
17.433 0.979
17.600 0.981
17.950 0.977
18.117 0.974
18.467 0.978
18.633 0.980
18.983 0.983
19.150 0.981
19.500 0.976
19.667 0.975
20.017 0.978
20.167 0.977
20.517 0.977
20.683 0.977
21.033 0.975
21.200 0.977
21.550 0.980
21.717 0.978
22.067 0.973
22.233 0.971
22.583 0.978
22.750 0.984
23.083 0.979
23.250 0.977
23.600 0.975
23.767 0.975
24.117 0.978
24.283 0.978
24.633 0.974
24.800 0.971
25.150 0.971
25.317 0.975
25.667 0.983
25.817 0.978
26.167 0.973
26.333 0.976
26.683 0.979
26.850 0.975
27.200 0.976
27.367 0.978
27.717 0.981
27.883 0.979
28.233 0.971
28.383 0.975
28.733 0.972
28.900 0.971
29.250 0.973
29.417 0.973
29.767 0.975
29.933 0.975
30.283 0.977
30.433 0.975
30.800 0.974
30.950 0.977
31.317 0.984
31.467 0.976
31.817 0.965
31.983 0.969
32.333 0.975
32.500 0.976
32.850 0.977
33.017 0.978
33.367 0.973
33.533 0.974
33.883 0.977
34.033 0.975
34.400 0.975
34.550 0.976
34.917 0.974
35.067 0.974
35.433 0.977
35.583 0.974
35.933 0.972
36.100 0.973
36.450 0.977
36.617 0.980
36.967 0.973
37.133 0.972
37.483 0.971
37.650 0.974
38.000 0.978
38.150 0.976
38.517 0.974
38.667 0.976
39.033 0.981
39.183 0.979
39.550 0.973
39.700 0.971
40.067 0.973
40.217 0.973
40.583 0.974
40.733 0.974
41.100 0.980
41.250 0.984
41.617 0.979
41.767 0.978
42.117 0.973
42.283 0.977
42.650 0.984
42.800 0.981
43.150 0.978
43.317 0.980
43.667 0.982
43.817 0.982
44.183 0.976
44.350 0.974
44.700 0.981
44.850 0.981
45.217 0.979
45.383 0.974
45.733 0.971
45.883 0.979
46.250 0.980
46.400 0.975
46.767 0.976
46.917 0.976
47.267 0.977
47.417 0.978
47.783 0.973
47.933 0.972
48.300 0.967
48.450 0.967
48.817 0.975
48.967 0.977
49.317 0.982
49.467 0.982
49.833 0.979
50.000 0.972
50.350 0.971
50.500 0.979
50.867 0.980
51.017 0.976
51.367 0.969
51.533 0.967
51.883 0.979
52.050 0.982
52.483 0.977
52.550 0.976
52.983 0.974
53.150 0.976
53.500 0.977
53.667 0.975
54.100 0.974
54.267 0.976
54.700 0.979
54.867 0.978
55.217 0.970
55.367 0.966
55.717 0.973
55.883 0.974
56.317 0.978
56.483 0.983
56.917 0.978
57.083 0.976
57.517 0.974
57.683 0.974
58.017 0.977
58.200 0.979
58.533 0.976
58.883 0.965
59.033 0.968
