i value
0.000 800.000
0.517 800.000
1.033 800.000
1.567 800.000
2.083 800.000
2.600 800.000
3.117 800.000
3.633 800.000
4.150 800.000
4.667 800.000
5.183 800.000
5.700 800.000
6.217 800.000
6.733 800.000
7.167 800.000
7.683 800.000
8.183 800.000
8.700 800.000
9.217 800.000
9.733 800.000
10.250 800.000
10.750 800.000
11.267 800.000
11.783 800.000
12.300 800.000
12.817 800.000
13.333 800.000
13.833 800.000
14.350 800.000
15.383 800.000
15.633 800.000
15.900 800.000
16.150 800.000
16.417 800.000
16.583 800.000
16.933 800.000
17.100 800.000
17.433 800.000
17.600 800.000
17.950 800.000
18.117 800.000
18.467 800.000
18.633 800.000
18.983 800.000
19.150 800.000
19.500 800.000
19.667 800.000
20.017 800.000
20.167 800.000
20.517 800.000
20.683 800.000
21.033 800.000
21.200 800.000
21.550 800.000
21.717 800.000
22.067 800.000
22.233 800.000
22.583 800.000
22.750 800.000
23.083 800.000
23.250 800.000
23.600 800.000
23.767 800.000
24.117 800.000
24.283 800.000
24.633 800.000
24.800 800.000
25.150 800.000
25.317 800.000
25.667 800.000
25.817 800.000
26.167 800.000
26.333 800.000
26.683 800.000
26.850 800.000
27.200 800.000
27.367 800.000
27.717 800.000
27.883 800.000
28.233 800.000
28.383 800.000
28.733 800.000
28.900 800.000
29.250 800.000
29.417 800.000
29.767 800.000
29.933 800.000
30.283 800.000
30.433 800.000
30.800 800.000
30.950 800.000
31.317 800.000
31.467 800.000
31.817 800.000
31.983 800.000
32.333 800.000
32.500 800.000
32.850 800.000
33.017 800.000
33.367 800.000
33.533 800.000
33.883 800.000
34.033 800.000
34.400 800.000
34.550 800.000
34.917 800.000
35.067 800.000
35.433 800.000
35.583 800.000
35.933 800.000
36.100 800.000
36.450 800.000
36.617 800.000
36.967 800.000
37.133 800.000
37.483 800.000
37.650 800.000
38.000 800.000
38.150 800.000
38.517 800.000
38.667 800.000
39.033 800.000
39.183 800.000
39.550 800.000
39.700 800.000
40.067 800.000
40.217 800.000
40.583 800.000
40.733 800.000
41.100 800.000
41.250 800.000
41.617 800.000
41.767 800.000
42.117 800.000
42.283 800.000
42.650 800.000
42.800 800.000
43.150 800.000
43.317 800.000
43.667 800.000
43.817 800.000
44.183 800.000
44.350 800.000
44.700 800.000
44.850 800.000
45.217 800.000
45.383 800.000
45.733 800.000
45.883 800.000
46.250 800.000
46.400 800.000
46.767 800.000
46.917 800.000
47.267 800.000
47.417 800.000
47.783 800.000
47.933 800.000
48.300 800.000
48.450 800.000
48.817 800.000
48.967 800.000
49.317 800.000
49.467 800.000
49.833 800.000
50.000 800.000
50.350 800.000
50.500 800.000
50.867 800.000
51.017 800.000
51.367 800.000
51.533 800.000
51.883 800.000
52.050 800.000
52.483 800.000
52.550 800.000
52.983 800.000
53.150 800.000
53.500 800.000
53.667 800.000
54.100 800.000
54.267 800.000
54.700 800.000
54.867 800.000
55.217 800.000
55.367 800.000
55.717 800.000
55.883 800.000
56.317 800.000
56.483 800.000
56.917 800.000
57.083 800.000
57.517 800.000
57.683 800.000
58.017 800.000
58.200 800.000
58.533 800.000
58.883 800.000
59.033 800.000
