i value
0.000 1234.723
0.517 1193.240
1.033 1240.010
1.567 1104.782
2.083 1165.679
2.600 1186.124
3.117 1155.364
3.633 1241.876
4.150 1267.341
4.667 571.870
5.183 656.365
5.700 380.297
6.217 300.252
6.733 326.053
7.167 400.632
7.683 506.110
8.183 497.102
8.700 495.129
9.217 492.487
9.733 480.841
10.250 520.267
10.750 829.141
11.267 468.829
11.783 496.091
12.300 475.622
12.817 480.675
13.333 921.333
13.833 2579.859
14.350 2722.130
15.383 1172.373
15.633 1097.697
15.900 444.629
16.150 408.662
16.417 356.218
16.583 356.693
16.933 355.950
17.100 360.198
17.433 401.259
17.600 422.317
17.950 525.312
18.117 521.008
18.467 516.538
18.633 518.923
18.983 548.561
19.150 546.355
19.500 542.163
19.667 545.060
20.017 508.921
20.167 511.399
20.517 543.179
20.683 538.106
21.033 577.471
21.200 583.834
21.550 572.125
21.717 567.915
22.067 536.090
22.233 535.676
22.583 580.531
22.750 579.963
23.083 539.875
23.250 538.463
23.600 557.567
23.767 558.336
24.117 507.939
24.283 510.420
24.633 507.345
24.800 508.609
25.150 539.799
25.317 536.983
25.667 576.911
25.817 575.392
26.167 551.015
26.333 552.103
26.683 566.805
26.850 568.116
27.200 523.799
27.367 521.164
27.717 579.077
27.883 578.767
28.233 549.718
28.383 550.529
28.733 627.548
28.900 628.264
29.250 601.722
29.417 602.416
29.767 523.165
29.933 526.245
30.283 554.973
30.433 554.061
30.800 595.595
30.950 589.864
31.317 564.133
31.467 568.676
31.817 592.596
31.983 590.407
32.333 545.152
32.500 544.589
32.850 571.732
33.017 569.172
33.367 516.198
33.533 522.249
33.883 553.466
34.033 554.734
34.400 494.807
34.550 490.243
34.917 525.050
35.067 527.002
35.433 520.556
35.583 522.054
35.933 472.880
36.100 471.649
36.450 546.589
36.617 545.558
36.967 549.096
37.133 549.501
37.483 562.530
37.650 563.741
38.000 530.419
38.150 529.710
38.517 515.908
38.667 515.277
39.033 581.859
39.183 581.473
39.550 528.009
39.700 532.345
40.067 519.232
40.217 512.324
40.583 550.238
40.733 557.962
41.100 553.644
41.250 547.721
41.617 546.591
41.767 550.507
42.117 582.678
42.283 580.004
42.650 538.394
42.800 538.432
43.150 513.109
43.317 511.786
43.667 572.505
43.817 573.809
44.183 525.375
44.350 529.576
44.700 491.196
44.850 491.214
45.217 543.319
45.383 538.004
45.733 476.202
45.883 479.904
46.250 551.000
46.400 543.551
46.767 576.178
46.917 584.670
47.267 567.925
47.417 565.564
47.783 560.456
47.933 556.657
48.300 529.683
48.450 534.901
48.817 553.579
48.967 544.515
49.317 554.907
49.467 561.824
49.833 550.225
50.000 547.992
50.350 547.087
50.500 552.451
50.867 577.066
51.017 572.479
51.367 523.107
51.533 522.126
51.883 561.691
52.050 565.693
52.483 520.877
52.550 524.018
52.983 552.650
53.150 549.001
53.500 549.440
53.667 547.121
54.100 568.262
54.267 577.082
54.700 544.585
54.867 535.836
55.217 564.876
55.367 566.980
55.717 547.266
55.883 547.996
56.317 542.302
56.483 542.538
56.917 499.069
57.083 495.513
57.517 546.384
57.683 550.662
58.017 565.686
58.200 559.897
58.533 591.598
58.883 590.829
59.033 513.839
