i value
1.733 75.241
2.167 75.241
2.683 75.241
3.200 75.241
3.717 75.241
4.233 39.784
5.350 39.784
5.867 39.784
6.383 39.784
6.900 39.784
7.333 17.896
7.850 17.830
8.350 17.786
8.867 17.818
9.383 17.836
9.900 17.736
10.317 17.655
10.833 17.674
11.350 17.612
11.867 17.539
12.300 17.532
12.800 17.511
13.317 17.536
13.833 17.756
14.267 17.918
14.767 18.506
15.383 18.745
15.883 18.737
16.400 18.494
16.917 18.357
17.433 17.834
17.867 17.640
18.367 17.617
18.883 17.636
19.400 17.633
19.833 17.599
20.333 17.607
20.850 17.576
21.367 17.602
21.800 17.622
22.300 17.570
22.817 17.497
23.333 17.519
23.767 17.455
24.267 17.394
24.783 17.462
25.300 17.514
25.733 17.507
26.233 17.536
26.750 17.533
27.267 17.485
27.783 17.436
28.283 17.449
28.800 17.443
29.317 17.458
29.833 17.493
30.350 17.511
30.850 17.476
31.367 17.472
31.883 17.524
32.400 17.527
32.917 17.609
33.433 17.593
33.933 17.563
34.450 17.563
34.967 17.519
35.483 17.500
36.000 17.515
36.517 17.561
37.017 17.491
37.533 17.541
38.050 17.486
38.567 17.528
39.083 17.545
39.600 17.622
40.117 17.673
40.617 17.710
41.133 17.724
41.650 17.739
42.167 17.732
42.683 17.676
43.200 17.660
43.717 17.599
44.217 17.658
44.733 17.708
45.250 17.654
45.767 19.302
46.283 19.284
46.800 19.130
47.300 18.989
47.817 18.977
48.333 17.254
48.833 17.233
49.350 17.254
49.950 17.261
50.450 17.235
50.967 17.260
51.483 17.280
52.000 17.291
52.500 17.279
53.100 17.289
53.617 17.271
54.217 17.241
54.800 17.219
55.317 17.242
55.833 17.273
56.417 17.269
57.017 17.299
57.617 17.333
58.133 17.357
58.633 17.360
59.150 17.395
