i value
0.000 77.106
0.433 76.462
0.867 74.097
1.300 75.321
1.733 73.221
2.167 42.580
2.683 37.723
3.200 39.141
3.717 39.554
4.233 39.920
5.350 18.276
5.867 17.789
6.383 17.700
6.900 17.718
7.333 17.998
7.850 17.946
8.350 17.565
8.867 17.861
9.383 17.807
9.900 17.503
10.317 17.540
10.833 17.657
11.350 17.551
11.867 17.445
12.300 17.468
12.800 17.432
13.317 17.783
13.833 18.649
14.267 18.257
14.767 20.407
15.383 18.627
15.883 17.747
16.400 17.433
16.917 17.570
17.433 17.794
17.867 17.658
18.367 17.631
18.883 17.526
19.400 17.554
19.833 17.626
20.333 17.701
20.850 17.474
21.367 17.654
21.800 17.655
22.300 17.367
22.817 17.334
23.333 17.588
23.767 17.331
24.267 17.353
24.783 17.704
25.300 17.595
25.733 17.554
26.233 17.471
26.750 17.339
27.267 17.467
27.783 17.351
28.283 17.617
28.800 17.440
29.317 17.417
29.833 17.642
30.350 17.440
30.850 17.440
31.367 17.420
31.883 17.676
32.400 17.659
32.917 17.852
33.433 17.356
33.933 17.274
34.450 17.673
34.967 17.439
35.483 17.756
36.000 17.433
36.517 17.504
37.017 17.324
37.533 17.686
38.050 17.481
38.567 17.646
39.083 17.588
39.600 17.707
40.117 17.942
40.617 17.668
41.133 17.715
41.650 17.661
42.167 17.672
42.683 17.663
43.200 17.589
43.717 17.408
44.217 17.958
44.733 17.920
45.250 17.395
45.767 25.828
46.283 17.320
46.800 17.188
47.300 17.215
47.817 17.332
48.333 17.213
48.833 17.219
49.350 17.290
49.950 17.252
50.450 17.199
50.967 17.342
51.483 17.315
52.000 17.349
52.500 17.190
53.100 17.250
53.617 17.249
54.217 17.166
54.800 17.241
55.317 17.305
55.833 17.404
56.417 17.231
57.017 17.316
57.617 17.410
58.133 17.424
58.633 17.418
59.150 17.409
