i value
4.150 1203.277
4.667 1203.277
5.183 1203.277
5.700 1203.277
6.217 1203.277
6.733 1203.277
7.167 1203.277
7.683 1203.277
8.183 406.030
8.700 445.005
9.217 478.292
9.733 494.334
10.250 497.165
10.750 563.573
11.267 558.313
11.783 559.034
12.300 557.990
12.817 550.072
13.333 568.510
13.833 990.716
14.350 1435.924
15.383 1435.924
15.633 1435.924
15.900 1435.924
16.150 1435.924
16.417 1435.924
16.583 1435.924
16.933 1435.924
17.100 1435.924
17.433 366.064
17.600 379.283
17.950 413.007
18.117 446.019
18.467 477.287
18.633 500.820
18.983 526.068
19.150 530.277
19.500 534.508
19.667 540.213
20.017 538.212
20.167 530.779
20.517 530.144
20.683 529.333
21.033 535.815
21.200 550.798
21.550 562.943
21.717 567.890
22.067 567.487
22.233 559.128
22.583 558.467
22.750 560.035
23.083 554.427
23.250 554.902
23.600 559.280
23.767 554.841
24.117 540.436
24.283 534.545
24.633 528.321
24.800 518.530
25.150 514.822
25.317 520.631
25.667 533.929
25.817 547.539
26.167 556.020
26.333 558.481
26.683 564.445
26.850 562.686
27.200 552.368
27.367 546.398
27.717 551.792
27.883 554.185
28.233 550.505
28.383 555.851
28.733 577.128
28.900 586.965
29.250 591.556
29.417 602.096
29.767 596.623
29.933 576.362
30.283 561.704
30.433 552.172
30.800 550.808
30.950 564.147
31.317 571.725
31.467 574.466
31.817 582.173
31.983 581.135
32.333 572.193
32.500 568.284
32.850 568.895
33.017 564.210
33.367 549.369
33.533 544.788
33.883 546.563
34.033 543.164
34.400 528.291
34.550 523.100
34.917 523.660
35.067 518.367
35.433 511.532
35.583 516.981
35.933 513.508
36.100 502.828
36.450 506.746
36.617 511.746
36.967 517.154
37.133 532.479
37.483 550.655
37.650 554.085
38.000 551.057
38.150 547.180
38.517 540.462
38.667 531.011
39.033 534.635
39.183 544.845
39.550 544.505
39.700 547.792
40.067 548.583
40.217 534.676
40.583 528.429
40.733 534.420
41.100 538.680
41.250 544.378
41.617 551.231
41.767 551.285
42.117 556.228
42.283 561.500
42.650 559.635
42.800 558.003
43.150 550.523
43.317 536.345
43.667 534.845
43.817 541.928
44.183 539.317
44.350 542.610
44.700 538.492
44.850 522.234
45.217 516.136
45.383 518.662
45.733 507.987
45.883 505.729
46.250 517.686
46.400 517.732
46.767 525.367
46.917 547.061
47.267 564.665
47.417 567.578
47.783 570.959
47.933 567.054
48.300 556.057
48.450 549.452
48.817 547.055
48.967 543.867
49.317 543.517
49.467 549.945
49.833 553.010
50.000 551.892
50.350 552.407
50.500 551.916
50.867 554.964
51.017 559.415
51.367 554.438
51.533 549.446
51.883 551.294
52.050 549.019
52.483 538.699
52.550 538.881
52.983 544.986
53.150 542.448
53.500 539.197
53.667 544.446
54.100 553.295
54.267 558.181
54.700 557.298
54.867 554.577
55.217 558.128
55.367 557.872
55.717 551.909
55.883 552.591
56.317 553.884
56.483 549.416
56.917 535.834
57.083 525.484
57.517 525.161
57.683 526.833
58.017 531.463
58.200 543.629
58.533 562.845
58.883 571.734
59.033 564.370
