i value
2.083 0.990
2.600 0.989
3.117 0.990
3.633 0.989
4.150 0.995
4.667 0.992
7.333 0.992
7.850 0.992
8.367 0.992
8.883 0.992
9.383 0.956
9.900 0.960
10.417 0.963
10.933 0.961
11.450 0.964
11.950 0.963
12.467 0.961
12.983 0.958
13.500 0.960
14.000 0.959
14.517 0.965
15.033 0.965
17.450 0.965
17.950 0.965
18.467 0.965
18.983 0.965
19.500 0.958
20.017 0.960
20.517 0.960
21.033 0.960
21.550 0.961
22.067 0.959
22.583 0.960
23.100 0.959
23.600 0.960
24.117 0.961
24.633 0.961
25.150 0.955
25.667 0.953
26.167 0.950
26.683 0.947
27.200 0.949
27.717 0.952
28.233 0.957
28.733 0.958
29.250 0.957
29.767 0.957
30.283 0.956
30.800 0.955
31.317 0.959
31.833 0.960
32.350 0.962
32.867 0.964
33.367 0.963
33.883 0.960
34.400 0.962
34.917 0.958
35.433 0.957
35.950 0.958
36.467 0.957
36.983 0.956
37.483 0.959
38.000 0.959
38.517 0.959
39.033 0.962
39.550 0.963
40.067 0.957
40.583 0.958
41.100 0.955
41.617 0.952
42.133 0.952
42.650 0.957
43.167 0.955
43.683 0.957
44.200 0.959
44.717 0.957
45.217 0.957
45.750 0.957
46.267 0.959
46.767 0.958
47.283 0.960
47.867 0.956
48.367 0.956
48.883 0.955
49.400 0.952
50.000 0.953
50.517 0.955
51.100 0.956
51.617 0.959
52.117 0.961
52.633 0.962
53.167 0.962
53.750 0.961
54.283 0.960
54.883 0.960
55.550 0.958
56.067 0.960
56.667 0.960
57.250 0.958
57.850 0.961
58.533 0.957
59.217 0.958
