i value
2.083 440.726
2.600 439.543
3.117 439.639
3.633 439.182
4.150 438.701
4.667 439.294
7.333 439.294
7.850 439.294
8.367 439.294
8.883 439.294
9.383 214.723
9.900 214.327
10.417 213.816
10.933 213.765
11.450 214.071
11.950 213.818
12.467 213.381
12.983 213.025
13.500 211.123
14.000 209.651
14.517 209.652
15.033 208.652
17.450 208.652
17.950 208.652
18.467 208.652
18.983 208.652
19.500 213.652
20.017 214.060
20.517 214.382
21.033 214.267
21.550 213.901
22.067 213.817
22.583 212.514
23.100 212.179
23.600 212.117
24.117 212.497
24.633 213.233
25.150 213.673
25.667 213.715
26.167 213.688
26.683 213.307
27.200 212.565
27.717 212.511
28.233 212.348
28.733 212.612
29.250 212.178
29.767 213.155
30.283 213.390
30.800 213.307
31.317 213.519
31.833 214.097
32.350 214.003
32.867 214.203
33.367 214.779
33.883 214.880
34.400 215.660
34.917 215.530
35.433 215.314
35.950 215.555
36.467 215.082
36.983 213.909
37.483 213.352
38.000 213.282
38.517 213.460
39.033 215.100
39.550 216.039
40.067 216.576
40.583 217.098
41.100 216.812
41.617 215.289
42.133 215.519
42.650 215.725
43.167 215.697
43.683 214.984
44.200 215.843
44.717 215.463
45.217 214.593
45.750 216.875
46.267 216.575
46.767 215.690
47.283 215.116
47.867 215.391
48.367 212.794
48.883 212.730
49.400 213.550
50.000 214.115
50.517 213.487
51.100 213.284
51.617 213.250
52.117 211.850
52.633 211.702
53.167 211.488
53.750 211.461
54.283 211.614
54.883 212.714
55.550 212.279
56.067 213.064
56.667 213.627
57.250 213.977
57.850 214.150
58.533 214.694
59.217 214.801
