i value
0.000 500.000
0.517 500.000
1.033 500.000
1.567 500.000
2.083 500.000
2.600 500.000
3.117 500.000
3.633 500.000
4.150 500.000
4.667 500.000
7.333 500.000
7.850 500.000
8.367 500.000
8.883 500.000
9.383 500.000
9.900 500.000
10.417 500.000
10.933 500.000
11.450 500.000
11.950 500.000
12.467 500.000
12.983 500.000
13.500 500.000
14.000 500.000
14.517 500.000
15.033 500.000
17.450 500.000
17.950 500.000
18.467 500.000
18.983 500.000
19.500 500.000
20.017 500.000
20.517 500.000
21.033 500.000
21.550 500.000
22.067 500.000
22.583 500.000
23.100 500.000
23.600 500.000
24.117 500.000
24.633 500.000
25.150 500.000
25.667 500.000
26.167 500.000
26.683 500.000
27.200 500.000
27.717 500.000
28.233 500.000
28.733 500.000
29.250 500.000
29.767 500.000
30.283 500.000
30.800 500.000
31.317 500.000
31.833 500.000
32.350 500.000
32.867 500.000
33.367 500.000
33.883 500.000
34.400 500.000
34.917 500.000
35.433 500.000
35.950 500.000
36.467 500.000
36.983 500.000
37.483 500.000
38.000 500.000
38.517 500.000
39.033 500.000
39.550 500.000
40.067 500.000
40.583 500.000
41.100 500.000
41.617 500.000
42.133 500.000
42.650 500.000
43.167 500.000
43.683 500.000
44.200 500.000
44.717 500.000
45.217 500.000
45.750 500.000
46.267 500.000
46.767 500.000
47.283 500.000
47.867 500.000
48.367 500.000
48.883 500.000
49.400 500.000
50.000 500.000
50.517 500.000
51.100 500.000
51.617 500.000
52.117 500.000
52.633 500.000
53.167 500.000
53.750 500.000
54.283 500.000
54.883 500.000
55.550 500.000
56.067 500.000
56.667 500.000
57.250 500.000
57.850 500.000
58.533 500.000
59.217 500.000
