i value
0.000 442.695
0.517 438.436
1.033 440.464
1.567 439.411
2.083 442.625
2.600 436.777
3.117 438.917
3.633 438.178
4.150 437.008
4.667 445.591
7.333 216.372
7.850 214.859
8.367 216.901
8.883 212.685
9.383 212.799
9.900 214.391
10.417 212.303
10.933 216.644
11.450 214.220
11.950 211.533
12.467 212.205
12.983 210.525
13.500 207.130
14.000 206.861
14.517 211.538
15.033 207.207
17.450 214.664
17.950 213.947
18.467 212.975
18.983 214.597
19.500 212.077
20.017 216.705
20.517 215.553
21.033 212.402
21.550 212.768
22.067 211.655
22.583 210.191
23.100 213.878
23.600 212.091
24.117 214.669
24.633 215.336
25.150 212.391
25.667 214.084
26.167 211.960
26.683 212.764
27.200 211.625
27.717 212.122
28.233 213.268
28.733 213.280
29.250 210.596
29.767 216.508
30.283 213.296
30.800 212.857
31.317 214.336
31.833 213.487
32.350 216.040
32.867 214.295
33.367 215.739
33.883 214.840
34.400 217.385
34.917 215.392
35.433 213.217
35.950 216.942
36.467 212.473
36.983 211.519
37.483 212.606
38.000 212.867
38.517 217.836
39.033 220.673
39.550 216.214
40.067 215.291
40.583 215.476
41.100 216.406
41.617 213.058
42.133 217.365
42.650 216.321
43.167 215.336
43.683 212.840
44.200 217.352
44.717 215.469
45.217 211.969
45.750 226.745
46.267 211.339
46.767 212.927
47.283 212.599
47.867 213.343
48.367 213.763
48.883 211.015
49.400 217.029
50.000 215.422
50.517 210.207
51.100 212.745
51.617 210.846
52.117 210.030
52.633 214.682
53.167 209.139
53.750 212.608
54.283 211.613
54.883 215.528
55.550 212.509
56.067 213.061
56.667 215.425
57.250 213.361
57.850 216.396
58.533 215.227
59.217 213.596
