i value
0.000 0.711
0.433 0.719
0.867 0.707
1.300 0.692
1.733 0.707
2.167 0.850
2.683 0.867
3.200 0.863
3.717 0.873
4.233 0.862
5.350 0.969
5.867 0.963
6.383 0.957
6.900 0.962
7.333 0.954
7.850 0.962
8.350 0.962
8.867 0.962
9.383 0.961
9.900 0.968
10.317 0.956
10.833 0.963
11.350 0.965
11.867 0.964
12.300 0.961
12.800 0.960
13.317 0.957
13.833 0.960
14.267 0.968
14.767 0.972
15.383 0.962
15.883 0.957
16.400 0.965
16.917 0.958
17.433 0.964
17.867 0.964
18.367 0.957
18.883 0.966
19.400 0.963
19.833 0.956
20.333 0.958
20.850 0.963
21.367 0.954
21.800 0.963
22.300 0.955
22.817 0.967
23.333 0.959
23.767 0.959
24.267 0.958
24.783 0.957
25.300 0.958
25.733 0.959
26.233 0.964
26.750 0.967
27.267 0.957
27.783 0.958
28.283 0.956
28.800 0.961
29.317 0.958
29.833 0.955
30.350 0.965
30.850 0.955
31.367 0.955
31.883 0.960
32.400 0.961
32.917 0.960
33.433 0.960
33.933 0.961
34.450 0.962
34.967 0.961
35.483 0.950
36.000 0.962
36.517 0.966
37.017 0.957
37.533 0.953
38.050 0.965
38.567 0.968
39.083 0.968
39.600 0.963
40.117 0.966
40.617 0.962
41.133 0.959
41.650 0.965
42.167 0.965
42.683 0.958
43.200 0.964
43.717 0.967
44.217 0.961
44.733 0.964
45.250 0.960
45.767 0.965
46.283 0.966
46.800 0.958
47.300 0.959
47.817 0.963
48.333 0.959
48.833 0.958
49.350 0.959
49.950 0.959
50.450 0.958
50.967 0.955
51.483 0.950
52.000 0.962
52.500 0.962
53.100 0.960
53.617 0.956
54.217 0.963
54.800 0.962
55.317 0.959
55.833 0.966
56.417 0.967
57.017 0.963
57.617 0.958
58.133 0.958
58.633 0.955
59.150 0.959
