i value
0.000 90.000
0.433 90.000
0.867 90.000
1.300 90.000
1.733 90.000
2.167 90.000
2.683 90.000
3.200 90.000
3.717 90.000
4.233 90.000
5.350 90.000
5.867 90.000
6.383 90.000
6.900 90.000
7.333 90.000
7.850 90.000
8.350 90.000
8.867 90.000
9.383 90.000
9.900 90.000
10.317 90.000
10.833 90.000
11.350 90.000
11.867 90.000
12.300 90.000
12.800 90.000
13.317 90.000
13.833 90.000
14.267 90.000
14.767 90.000
15.383 90.000
15.883 90.000
16.400 90.000
16.917 90.000
17.433 90.000
17.867 90.000
18.367 90.000
18.883 90.000
19.400 90.000
19.833 90.000
20.333 90.000
20.850 90.000
21.367 90.000
21.800 90.000
22.300 90.000
22.817 90.000
23.333 90.000
23.767 90.000
24.267 90.000
24.783 90.000
25.300 90.000
25.733 90.000
26.233 90.000
26.750 90.000
27.267 90.000
27.783 90.000
28.283 90.000
28.800 90.000
29.317 90.000
29.833 90.000
30.350 90.000
30.850 90.000
31.367 90.000
31.883 90.000
32.400 90.000
32.917 90.000
33.433 90.000
33.933 90.000
34.450 90.000
34.967 90.000
35.483 90.000
36.000 90.000
36.517 90.000
37.017 90.000
37.533 90.000
38.050 90.000
38.567 90.000
39.083 90.000
39.600 90.000
40.117 90.000
40.617 90.000
41.133 90.000
41.650 90.000
42.167 90.000
42.683 90.000
43.200 90.000
43.717 90.000
44.217 90.000
44.733 90.000
45.250 90.000
45.767 90.000
46.283 90.000
46.800 90.000
47.300 90.000
47.817 90.000
48.333 90.000
48.833 90.000
49.350 90.000
49.950 90.000
50.450 90.000
50.967 90.000
51.483 90.000
52.000 90.000
52.500 90.000
53.100 90.000
53.617 90.000
54.217 90.000
54.800 90.000
55.317 90.000
55.833 90.000
56.417 90.000
57.017 90.000
57.617 90.000
58.133 90.000
58.633 90.000
59.150 90.000
