i value
0.367 1.000
0.450 1.000
0.550 1.000
0.633 1.000
0.717 1.000
0.817 1.000
0.900 1.000
0.983 1.000
1.083 1.000
1.167 1.000
1.250 1.000
1.333 1.000
1.417 1.000
1.517 1.000
1.600 1.000
1.683 1.000
1.767 1.000
1.850 1.000
1.950 1.000
2.033 1.000
2.117 1.000
2.200 1.000
2.283 1.000
2.383 1.000
2.467 1.000
2.550 1.000
2.633 1.000
2.717 1.000
2.817 1.000
2.900 1.000
2.983 1.000
3.067 1.000
3.150 1.000
3.233 1.000
3.333 1.000
3.417 1.000
3.500 1.000
3.600 1.000
3.683 1.000
3.767 1.000
3.850 1.000
3.950 1.000
4.033 1.000
4.117 1.000
4.200 1.000
4.300 1.000
4.383 1.000
4.483 1.000
4.567 1.000
4.650 1.000
4.733 1.000
4.833 1.000
4.917 1.000
5.000 1.000
5.083 1.000
5.183 1.000
5.267 1.000
5.350 1.000
5.433 1.000
5.533 1.000
5.617 1.000
5.700 1.000
5.783 1.000
5.883 1.000
5.967 1.000
6.050 1.000
6.133 1.000
6.217 1.000
6.317 1.000
6.400 1.000
6.483 1.000
6.567 1.000
6.667 1.000
6.750 1.000
6.833 1.000
6.917 1.000
7.017 1.000
7.100 1.000
7.183 1.000
7.267 1.000
7.367 1.000
7.450 1.000
7.533 1.000
7.617 1.000
7.717 1.000
7.800 1.000
7.883 1.000
7.967 1.000
8.050 1.000
8.133 1.000
8.233 1.000
8.317 1.000
8.400 1.000
8.483 1.000
8.567 1.000
8.650 1.000
8.750 1.000
8.833 1.000
8.917 1.000
9.000 1.000
9.083 1.000
9.167 1.000
9.267 1.000
9.350 1.000
9.433 1.000
9.517 1.000
9.600 1.000
9.683 1.000
9.783 1.000
9.867 1.000
9.950 1.000
10.033 1.000
10.117 1.000
10.217 1.000
10.300 1.000
10.383 1.000
10.467 1.000
10.550 1.000
10.650 1.000
10.733 1.000
10.817 1.000
10.900 1.000
10.983 1.000
11.083 1.000
11.167 1.000
11.250 1.000
11.333 1.000
11.433 1.000
11.517 1.000
11.600 1.000
11.683 1.000
11.767 1.000
11.867 1.000
11.950 1.000
12.033 1.000
12.117 1.000
12.200 1.000
12.300 1.000
12.383 1.000
12.467 1.000
12.550 1.000
12.633 1.000
12.717 1.000
12.817 1.000
12.900 1.000
12.983 1.000
13.067 1.000
13.150 1.000
13.233 1.000
13.317 1.000
13.417 1.000
13.500 1.000
13.583 1.000
13.667 1.000
13.750 1.000
13.850 1.000
13.933 1.000
14.017 1.000
14.100 1.000
14.183 1.000
14.283 1.000
14.367 1.000
14.450 1.000
14.533 1.000
14.617 1.000
14.717 1.000
14.800 1.000
14.883 1.000
14.983 1.000
15.067 1.000
15.150 1.000
15.233 1.000
15.317 1.000
15.400 1.000
15.500 1.000
15.583 1.000
15.667 1.000
15.750 1.000
15.833 1.000
15.933 1.000
16.017 1.000
16.100 1.000
16.183 1.000
16.267 1.000
16.367 1.000
16.450 1.000
16.533 1.000
16.617 1.000
16.700 1.000
16.800 1.000
16.883 1.000
16.967 1.000
17.050 1.000
17.133 1.000
17.217 1.000
17.317 1.000
17.400 1.000
17.483 1.000
17.567 1.000
17.650 1.000
17.750 1.000
17.833 1.000
17.917 1.000
18.000 1.000
18.083 1.000
18.183 1.000
18.267 1.000
18.350 1.000
18.433 1.000
18.517 1.000
18.600 1.000
18.700 1.000
18.783 1.000
18.867 1.000
18.950 1.000
19.033 1.000
19.133 1.000
19.217 1.000
19.300 1.000
