i value
0.000 0.920
0.100 0.920
0.183 0.920
0.267 0.920
0.367 0.920
0.450 0.920
0.550 0.920
0.633 0.920
0.717 0.920
0.817 0.920
0.900 0.920
0.983 0.920
1.083 0.920
1.167 0.920
1.250 0.920
1.333 0.920
1.417 0.920
1.517 0.920
1.600 0.920
1.683 0.920
1.767 0.920
1.850 0.920
1.950 0.920
2.033 0.920
2.117 0.920
2.200 0.920
2.283 0.920
2.383 0.920
2.467 0.920
2.550 0.920
2.633 0.920
2.717 0.920
2.817 0.920
2.900 0.920
2.983 0.920
3.067 0.920
3.150 0.920
3.233 0.920
3.333 0.920
3.417 0.920
3.500 0.920
3.600 0.920
3.683 0.920
3.767 0.920
3.850 0.920
3.950 0.920
4.033 0.920
4.117 0.920
4.200 0.920
4.300 0.920
4.383 0.920
4.483 0.920
4.567 0.920
4.650 0.920
4.733 0.920
4.833 0.920
4.917 0.920
5.000 0.920
5.083 0.920
5.183 0.920
5.267 0.920
5.350 0.920
5.433 0.920
5.533 0.920
5.617 0.920
5.700 0.920
5.783 0.920
5.883 0.920
5.967 0.920
6.050 0.920
6.133 0.920
6.217 0.920
6.317 0.920
6.400 0.920
6.483 0.920
6.567 0.920
6.667 0.920
6.750 0.920
6.833 0.920
6.917 0.920
7.017 0.920
7.100 0.920
7.183 0.920
7.267 0.920
7.367 0.920
7.450 0.920
7.533 0.920
7.617 0.920
7.717 0.920
7.800 0.920
7.883 0.920
7.967 0.920
8.050 0.920
8.133 0.920
8.233 0.920
8.317 0.920
8.400 0.920
8.483 0.920
8.567 0.920
8.650 0.920
8.750 0.920
8.833 0.920
8.917 0.920
9.000 0.920
9.083 0.920
9.167 0.920
9.267 0.920
9.350 0.920
9.433 0.920
9.517 0.920
9.600 0.920
9.683 0.920
9.783 0.920
9.867 0.920
9.950 0.920
10.033 0.920
10.117 0.920
10.217 0.920
10.300 0.920
10.383 0.920
10.467 0.920
10.550 0.920
10.650 0.920
10.733 0.920
10.817 0.920
10.900 0.920
10.983 0.920
11.083 0.920
11.167 0.920
11.250 0.920
11.333 0.920
11.433 0.920
11.517 0.920
11.600 0.920
11.683 0.920
11.767 0.920
11.867 0.920
11.950 0.920
12.033 0.920
12.117 0.920
12.200 0.920
12.300 0.920
12.383 0.920
12.467 0.920
12.550 0.920
12.633 0.920
12.717 0.920
12.817 0.920
12.900 0.920
12.983 0.920
13.067 0.920
13.150 0.920
13.233 0.920
13.317 0.920
13.417 0.920
13.500 0.920
13.583 0.920
13.667 0.920
13.750 0.920
13.850 0.920
13.933 0.920
14.017 0.920
14.100 0.920
14.183 0.920
14.283 0.920
14.367 0.920
14.450 0.920
14.533 0.920
14.617 0.920
14.717 0.920
14.800 0.920
14.883 0.920
14.983 0.920
15.067 0.920
15.150 0.920
15.233 0.920
15.317 0.920
15.400 0.920
15.500 0.920
15.583 0.920
15.667 0.920
15.750 0.920
15.833 0.920
15.933 0.920
16.017 0.920
16.100 0.920
16.183 0.920
16.267 0.920
16.367 0.920
16.450 0.920
16.533 0.920
16.617 0.920
16.700 0.920
16.800 0.920
16.883 0.920
16.967 0.920
17.050 0.920
17.133 0.920
17.217 0.920
17.317 0.920
17.400 0.920
17.483 0.920
17.567 0.920
17.650 0.920
17.750 0.920
17.833 0.920
17.917 0.920
18.000 0.920
18.083 0.920
18.183 0.920
18.267 0.920
18.350 0.920
18.433 0.920
18.517 0.920
18.600 0.920
18.700 0.920
18.783 0.920
18.867 0.920
18.950 0.920
19.033 0.920
19.133 0.920
19.217 0.920
19.300 0.920
