i value
1.967 188.317
2.483 187.340
3.000 186.972
3.433 186.850
3.933 187.318
4.450 188.286
4.967 188.153
5.400 188.377
5.900 188.686
6.417 188.634
6.933 188.298
7.367 189.350
7.867 188.673
8.383 189.166
8.900 189.294
9.333 189.565
9.833 188.637
10.350 188.478
10.867 188.468
11.383 188.374
11.900 188.768
12.400 188.804
12.917 188.657
13.433 188.207
13.950 188.883
14.467 188.328
14.967 188.717
15.483 189.079
16.000 188.102
16.517 187.170
17.033 187.246
17.550 186.809
18.050 186.881
18.567 186.967
19.083 187.052
