i value
0.000 500.000
0.100 500.000
0.183 500.000
0.267 500.000
0.367 500.000
0.450 500.000
0.550 500.000
0.633 500.000
0.717 500.000
0.817 500.000
0.900 500.000
0.983 500.000
1.083 500.000
1.167 500.000
1.250 500.000
1.333 500.000
1.417 500.000
1.517 500.000
1.600 500.000
1.683 500.000
1.767 500.000
1.850 500.000
1.950 500.000
2.033 500.000
2.117 500.000
2.200 500.000
2.283 500.000
2.383 500.000
2.467 500.000
2.550 500.000
2.633 500.000
2.717 500.000
2.817 500.000
2.900 500.000
2.983 500.000
3.067 500.000
3.150 500.000
3.233 500.000
3.333 500.000
3.417 500.000
3.500 500.000
3.600 500.000
3.683 500.000
3.767 500.000
3.850 500.000
3.950 500.000
4.033 500.000
4.117 500.000
4.200 500.000
4.300 500.000
4.383 500.000
4.483 500.000
4.567 500.000
4.650 500.000
4.733 500.000
4.833 500.000
4.917 500.000
5.000 500.000
5.083 500.000
5.183 500.000
5.267 500.000
5.350 500.000
5.433 500.000
5.533 500.000
5.617 500.000
5.700 500.000
5.783 500.000
5.883 500.000
5.967 500.000
6.050 500.000
6.133 500.000
6.217 500.000
6.317 500.000
6.400 500.000
6.483 500.000
6.567 500.000
6.667 500.000
6.750 500.000
6.833 500.000
6.917 500.000
7.017 500.000
7.100 500.000
7.183 500.000
7.267 500.000
7.367 500.000
7.450 500.000
7.533 500.000
7.617 500.000
7.717 500.000
7.800 500.000
7.883 500.000
7.967 500.000
8.050 500.000
8.133 500.000
8.233 500.000
8.317 500.000
8.400 500.000
8.483 500.000
8.567 500.000
8.650 500.000
8.750 500.000
8.833 500.000
8.917 500.000
9.000 500.000
9.083 500.000
9.167 500.000
9.267 500.000
9.350 500.000
9.433 500.000
9.517 500.000
9.600 500.000
9.683 500.000
9.783 500.000
9.867 500.000
9.950 500.000
10.033 500.000
10.117 500.000
10.217 500.000
10.300 500.000
10.383 500.000
10.467 500.000
10.550 500.000
10.650 500.000
10.733 500.000
10.817 500.000
10.900 500.000
10.983 500.000
11.083 500.000
11.167 500.000
11.250 500.000
11.333 500.000
11.433 500.000
11.517 500.000
11.600 500.000
11.683 500.000
11.767 500.000
11.867 500.000
11.950 500.000
12.033 500.000
12.117 500.000
12.200 500.000
12.300 500.000
12.383 500.000
12.467 500.000
12.550 500.000
12.633 500.000
12.717 500.000
12.817 500.000
12.900 500.000
12.983 500.000
13.067 500.000
13.150 500.000
13.233 500.000
13.317 500.000
13.417 500.000
13.500 500.000
13.583 500.000
13.667 500.000
13.750 500.000
13.850 500.000
13.933 500.000
14.017 500.000
14.100 500.000
14.183 500.000
14.283 500.000
14.367 500.000
14.450 500.000
14.533 500.000
14.617 500.000
14.717 500.000
14.800 500.000
14.883 500.000
14.983 500.000
15.067 500.000
15.150 500.000
15.233 500.000
15.317 500.000
15.400 500.000
15.500 500.000
15.583 500.000
15.667 500.000
15.750 500.000
15.833 500.000
15.933 500.000
16.017 500.000
16.100 500.000
16.183 500.000
16.267 500.000
16.367 500.000
16.450 500.000
16.533 500.000
16.617 500.000
16.700 500.000
16.800 500.000
16.883 500.000
16.967 500.000
17.050 500.000
17.133 500.000
17.217 500.000
17.317 500.000
17.400 500.000
17.483 500.000
17.567 500.000
17.650 500.000
17.750 500.000
17.833 500.000
17.917 500.000
18.000 500.000
18.083 500.000
18.183 500.000
18.267 500.000
18.350 500.000
18.433 500.000
18.517 500.000
18.600 500.000
18.700 500.000
18.783 500.000
18.867 500.000
18.950 500.000
19.033 500.000
19.133 500.000
19.217 500.000
19.300 500.000
