i value
0.367 0.847
0.433 0.848
0.533 0.846
0.633 0.842
0.717 0.839
0.800 0.842
0.883 0.841
0.983 0.838
1.067 0.839
1.150 0.842
1.233 0.840
1.317 0.840
1.417 0.844
1.500 0.845
1.583 0.843
1.667 0.844
1.750 0.845
1.850 0.843
1.933 0.842
2.017 0.844
2.100 0.842
2.183 0.842
2.283 0.841
2.367 0.840
2.450 0.836
2.533 0.835
2.617 0.833
2.700 0.835
2.800 0.833
2.883 0.835
2.967 0.838
3.050 0.839
3.133 0.840
3.233 0.840
3.317 0.839
3.400 0.838
3.500 0.838
3.583 0.838
3.667 0.839
3.750 0.838
3.833 0.836
3.933 0.830
4.017 0.823
4.100 0.821
4.200 0.823
4.283 0.828
4.383 0.837
4.467 0.846
4.550 0.853
4.633 0.857
4.733 0.857
4.817 0.857
4.900 0.856
4.983 0.852
5.067 0.849
5.167 0.850
5.250 0.847
5.333 0.846
5.433 0.846
5.517 0.842
5.600 0.835
5.683 0.828
5.767 0.823
5.867 0.821
5.950 0.825
6.033 0.830
6.117 0.839
6.217 0.846
6.300 0.852
6.383 0.853
6.467 0.855
6.567 0.855
6.650 0.853
6.733 0.849
6.817 0.845
6.917 0.840
7.000 0.836
7.083 0.834
7.183 0.835
7.267 0.836
7.350 0.835
7.433 0.834
7.533 0.830
7.617 0.826
7.700 0.827
7.783 0.832
7.867 0.836
7.950 0.842
8.050 0.847
8.133 0.848
8.217 0.848
8.300 0.848
8.383 0.847
8.467 0.849
8.567 0.849
8.650 0.849
8.733 0.848
8.817 0.848
8.900 0.846
8.983 0.845
9.083 0.846
9.167 0.846
9.250 0.845
9.333 0.847
9.417 0.849
9.500 0.849
9.600 0.852
9.683 0.856
9.767 0.860
9.850 0.861
9.933 0.863
10.033 0.862
10.117 0.858
10.200 0.851
10.283 0.847
10.367 0.843
10.450 0.843
10.550 0.843
10.633 0.848
10.717 0.851
10.800 0.850
10.900 0.845
10.983 0.838
11.067 0.831
11.150 0.828
11.233 0.834
11.333 0.845
11.417 0.859
11.500 0.867
11.583 0.872
11.683 0.873
11.767 0.868
11.850 0.865
11.933 0.866
12.017 0.866
12.100 0.867
12.200 0.867
12.283 0.862
12.367 0.861
12.450 0.858
12.550 0.851
12.633 0.850
12.717 0.851
12.800 0.842
12.883 0.835
12.967 0.832
13.050 0.827
13.150 0.821
13.233 0.822
13.317 0.829
13.400 0.833
13.483 0.837
13.583 0.845
13.667 0.848
13.750 0.845
13.833 0.842
13.917 0.839
14.000 0.834
14.100 0.828
14.183 0.824
14.267 0.818
14.350 0.811
14.433 0.805
14.533 0.800
14.617 0.793
14.700 0.791
14.783 0.794
14.883 0.796
14.983 0.804
15.067 0.817
15.133 0.829
15.233 0.839
15.317 0.850
15.400 0.856
15.483 0.855
15.567 0.860
15.667 0.863
15.750 0.860
15.833 0.857
15.917 0.860
16.000 0.855
16.100 0.846
16.183 0.843
16.267 0.844
16.350 0.849
16.433 0.851
16.533 0.864
16.617 0.870
16.700 0.873
16.783 0.872
16.883 0.872
16.967 0.869
17.050 0.867
17.133 0.865
17.217 0.864
17.300 0.866
17.400 0.865
17.483 0.865
17.567 0.865
17.650 0.864
17.733 0.861
17.833 0.860
17.917 0.859
18.000 0.858
18.083 0.856
18.167 0.853
18.250 0.852
18.350 0.853
18.433 0.850
18.517 0.847
18.600 0.848
18.683 0.844
18.783 0.839
18.867 0.839
18.950 0.841
19.033 0.840
19.133 0.839
19.217 0.840
19.300 0.838
