i value
0.000 0.870
0.433 0.870
0.950 0.870
1.450 0.870
1.967 0.870
2.483 0.870
3.000 0.870
3.517 0.870
4.033 0.870
4.533 0.870
5.050 0.870
5.567 0.870
6.000 0.870
6.500 0.870
7.017 0.870
7.533 0.870
7.967 0.870
8.050 0.870
8.467 0.870
8.550 0.870
8.983 0.870
9.067 0.870
9.500 0.870
9.583 0.870
10.017 0.870
10.533 0.870
11.033 0.870
11.550 0.870
12.067 0.870
12.583 0.870
13.100 0.870
13.617 0.870
14.117 0.870
14.633 0.870
15.150 0.870
15.667 0.870
16.183 0.870
16.700 0.870
17.200 0.870
17.717 0.870
18.233 0.870
18.750 0.870
19.267 0.870
