i value
0.000 0.836
0.433 0.834
0.950 0.835
1.450 0.856
1.967 0.865
2.483 0.834
3.000 0.816
3.517 0.839
4.033 0.858
4.533 0.858
5.050 0.835
5.567 0.852
6.000 0.829
6.500 0.850
7.017 0.819
7.533 0.826
7.967 0.823
8.050 0.837
8.467 0.848
8.550 0.857
8.983 0.812
9.067 0.821
9.500 0.839
9.583 0.828
10.017 0.834
10.533 0.834
11.033 0.839
11.550 0.834
12.067 0.838
12.583 0.854
13.100 0.848
13.617 0.844
14.117 0.833
14.633 0.826
15.150 0.862
15.667 0.829
16.183 0.822
16.700 0.824
17.200 0.847
17.717 0.829
18.233 0.827
18.750 0.814
19.267 0.814
