i value
0.000 800.000
0.083 800.000
0.167 800.000
0.250 800.000
0.367 800.000
0.433 800.000
0.533 800.000
0.633 800.000
0.717 800.000
0.800 800.000
0.883 800.000
0.983 800.000
1.067 800.000
1.150 800.000
1.233 800.000
1.317 800.000
1.417 800.000
1.500 800.000
1.583 800.000
1.667 800.000
1.750 800.000
1.850 800.000
1.933 800.000
2.017 800.000
2.100 800.000
2.183 800.000
2.283 800.000
2.367 800.000
2.450 800.000
2.533 800.000
2.617 800.000
2.700 800.000
2.800 800.000
2.883 800.000
2.967 800.000
3.050 800.000
3.133 800.000
3.233 800.000
3.317 800.000
3.400 800.000
3.500 800.000
3.583 800.000
3.667 800.000
3.750 800.000
3.833 800.000
3.933 800.000
4.017 800.000
4.100 800.000
4.200 800.000
4.283 800.000
4.383 800.000
4.467 800.000
4.550 800.000
4.633 800.000
4.733 800.000
4.817 800.000
4.900 800.000
4.983 800.000
5.067 800.000
5.167 800.000
5.250 800.000
5.333 800.000
5.433 800.000
5.517 800.000
5.600 800.000
5.683 800.000
5.767 800.000
5.867 800.000
5.950 800.000
6.033 800.000
6.117 800.000
6.217 800.000
6.300 800.000
6.383 800.000
6.467 800.000
6.567 800.000
6.650 800.000
6.733 800.000
6.817 800.000
6.917 800.000
7.000 800.000
7.083 800.000
7.183 800.000
7.267 800.000
7.350 800.000
7.433 800.000
7.533 800.000
7.617 800.000
7.700 800.000
7.783 800.000
7.867 800.000
7.950 800.000
8.050 800.000
8.133 800.000
8.217 800.000
8.300 800.000
8.383 800.000
8.467 800.000
8.567 800.000
8.650 800.000
8.733 800.000
8.817 800.000
8.900 800.000
8.983 800.000
9.083 800.000
9.167 800.000
9.250 800.000
9.333 800.000
9.417 800.000
9.500 800.000
9.600 800.000
9.683 800.000
9.767 800.000
9.850 800.000
9.933 800.000
10.033 800.000
10.117 800.000
10.200 800.000
10.283 800.000
10.367 800.000
10.450 800.000
10.550 800.000
10.633 800.000
10.717 800.000
10.800 800.000
10.900 800.000
10.983 800.000
11.067 800.000
11.150 800.000
11.233 800.000
11.333 800.000
11.417 800.000
11.500 800.000
11.583 800.000
11.683 800.000
11.767 800.000
11.850 800.000
11.933 800.000
12.017 800.000
12.100 800.000
12.200 800.000
12.283 800.000
12.367 800.000
12.450 800.000
12.550 800.000
12.633 800.000
12.717 800.000
12.800 800.000
12.883 800.000
12.967 800.000
13.050 800.000
13.150 800.000
13.233 800.000
13.317 800.000
13.400 800.000
13.483 800.000
13.583 800.000
13.667 800.000
13.750 800.000
13.833 800.000
13.917 800.000
14.000 800.000
14.100 800.000
14.183 800.000
14.267 800.000
14.350 800.000
14.433 800.000
14.533 800.000
14.617 800.000
14.700 800.000
14.783 800.000
14.883 800.000
14.983 800.000
15.067 800.000
15.133 800.000
15.233 800.000
15.317 800.000
15.400 800.000
15.483 800.000
15.567 800.000
15.667 800.000
15.750 800.000
15.833 800.000
15.917 800.000
16.000 800.000
16.100 800.000
16.183 800.000
16.267 800.000
16.350 800.000
16.433 800.000
16.533 800.000
16.617 800.000
16.700 800.000
16.783 800.000
16.883 800.000
16.967 800.000
17.050 800.000
17.133 800.000
17.217 800.000
17.300 800.000
17.400 800.000
17.483 800.000
17.567 800.000
17.650 800.000
17.733 800.000
17.833 800.000
17.917 800.000
18.000 800.000
18.083 800.000
18.167 800.000
18.250 800.000
18.350 800.000
18.433 800.000
18.517 800.000
18.600 800.000
18.683 800.000
18.783 800.000
18.867 800.000
18.950 800.000
19.033 800.000
19.133 800.000
19.217 800.000
19.300 800.000
