i value
0.367 0.990
0.433 0.988
0.533 0.985
0.633 0.982
0.717 0.982
0.800 0.982
0.900 0.982
0.983 0.984
1.067 0.986
1.150 0.986
1.233 0.985
1.317 0.985
1.417 0.983
1.500 0.984
1.583 0.984
1.667 0.986
1.750 0.986
1.850 0.988
1.933 0.987
2.017 0.988
2.100 0.987
2.183 0.988
2.283 0.988
2.367 0.990
2.450 0.991
2.533 0.994
2.617 0.995
2.700 0.996
2.800 0.994
2.883 0.992
2.967 0.988
3.050 0.986
3.150 0.982
3.233 0.980
3.317 0.979
3.400 0.980
3.500 0.980
3.583 0.984
3.667 0.989
3.750 0.993
3.833 0.996
3.933 0.998
4.017 0.998
4.100 0.997
4.200 0.995
4.283 0.994
4.383 0.996
4.467 0.996
4.550 0.996
4.633 0.996
4.733 0.996
4.817 0.994
4.900 0.994
4.983 0.994
5.083 0.994
5.167 0.994
5.250 0.996
5.333 0.997
5.433 0.997
5.517 0.997
5.600 0.997
5.683 0.996
5.783 0.994
5.867 0.993
5.950 0.992
6.033 0.990
6.133 0.988
6.217 0.987
6.300 0.986
6.383 0.985
6.483 0.986
6.567 0.987
6.650 0.988
6.733 0.990
6.833 0.991
6.917 0.991
7.000 0.990
7.100 0.991
7.183 0.992
7.267 0.994
7.367 0.994
7.433 0.994
7.533 0.993
7.617 0.991
7.700 0.989
7.783 0.991
7.867 0.991
7.967 0.990
8.050 0.990
8.133 0.989
8.217 0.985
8.300 0.985
8.383 0.986
8.467 0.987
8.567 0.988
8.650 0.990
8.733 0.989
8.817 0.989
8.900 0.987
8.983 0.986
9.083 0.985
9.167 0.986
9.250 0.988
9.333 0.989
9.417 0.990
9.517 0.992
9.600 0.992
9.683 0.990
9.767 0.987
9.850 0.984
9.933 0.981
10.033 0.978
10.117 0.977
10.200 0.980
10.283 0.982
10.367 0.983
10.467 0.985
10.550 0.988
10.633 0.987
10.717 0.987
10.800 0.985
10.900 0.979
10.983 0.970
11.067 0.969
11.150 0.965
11.250 0.965
11.333 0.974
11.417 0.984
11.500 0.989
11.583 0.995
11.683 1.000
11.767 0.996
11.850 0.992
11.933 0.988
12.017 0.984
12.117 0.979
12.200 0.983
12.283 0.988
12.367 0.992
12.450 0.993
12.550 0.993
12.633 0.988
12.717 0.983
12.800 0.977
12.883 0.975
12.967 0.975
13.067 0.979
13.150 0.982
13.233 0.986
13.317 0.989
13.400 0.994
13.483 0.996
13.583 0.998
13.667 0.999
13.750 1.000
13.833 1.000
13.917 1.000
14.017 1.000
14.100 1.000
14.183 1.000
14.267 1.000
14.350 1.000
14.450 1.000
14.533 1.000
14.617 1.000
14.700 1.000
14.783 0.995
14.883 0.991
14.983 0.987
15.067 0.983
15.150 0.979
15.233 0.984
15.317 0.988
15.400 0.992
15.483 0.996
15.567 1.000
15.667 1.000
15.750 1.000
15.833 1.000
15.917 1.000
16.017 1.000
16.100 1.000
16.183 0.996
16.267 0.991
16.350 0.985
16.450 0.976
16.533 0.969
16.617 0.971
16.700 0.974
16.800 0.978
16.883 0.987
16.967 0.993
17.050 0.996
17.133 0.995
17.217 0.995
17.317 0.992
17.400 0.990
17.483 0.987
17.567 0.990
17.650 0.993
17.733 0.995
17.833 0.997
17.917 1.000
18.000 1.000
18.083 1.000
18.167 0.999
18.267 0.998
18.350 0.996
18.433 0.994
18.517 0.992
18.600 0.992
18.700 0.992
18.783 0.994
18.867 0.996
18.950 0.998
19.050 0.999
19.133 0.999
19.217 0.995
19.300 0.991
