i value
0.000 0.920
0.083 0.920
0.167 0.920
0.250 0.920
0.367 0.920
0.433 0.920
0.533 0.920
0.633 0.920
0.717 0.920
0.800 0.920
0.900 0.920
0.983 0.920
1.067 0.920
1.150 0.920
1.233 0.920
1.317 0.920
1.417 0.920
1.500 0.920
1.583 0.920
1.667 0.920
1.750 0.920
1.850 0.920
1.933 0.920
2.017 0.920
2.100 0.920
2.183 0.920
2.283 0.920
2.367 0.920
2.450 0.920
2.533 0.920
2.617 0.920
2.700 0.920
2.800 0.920
2.883 0.920
2.967 0.920
3.050 0.920
3.150 0.920
3.233 0.920
3.317 0.920
3.400 0.920
3.500 0.920
3.583 0.920
3.667 0.920
3.750 0.920
3.833 0.920
3.933 0.920
4.017 0.920
4.100 0.920
4.200 0.920
4.283 0.920
4.383 0.920
4.467 0.920
4.550 0.920
4.633 0.920
4.733 0.920
4.817 0.920
4.900 0.920
4.983 0.920
5.083 0.920
5.167 0.920
5.250 0.920
5.333 0.920
5.433 0.920
5.517 0.920
5.600 0.920
5.683 0.920
5.783 0.920
5.867 0.920
5.950 0.920
6.033 0.920
6.133 0.920
6.217 0.920
6.300 0.920
6.383 0.920
6.483 0.920
6.567 0.920
6.650 0.920
6.733 0.920
6.833 0.920
6.917 0.920
7.000 0.920
7.100 0.920
7.183 0.920
7.267 0.920
7.367 0.920
7.433 0.920
7.533 0.920
7.617 0.920
7.700 0.920
7.783 0.920
7.867 0.920
7.967 0.920
8.050 0.920
8.133 0.920
8.217 0.920
8.300 0.920
8.383 0.920
8.467 0.920
8.567 0.920
8.650 0.920
8.733 0.920
8.817 0.920
8.900 0.920
8.983 0.920
9.083 0.920
9.167 0.920
9.250 0.920
9.333 0.920
9.417 0.920
9.517 0.920
9.600 0.920
9.683 0.920
9.767 0.920
9.850 0.920
9.933 0.920
10.033 0.920
10.117 0.920
10.200 0.920
10.283 0.920
10.367 0.920
10.467 0.920
10.550 0.920
10.633 0.920
10.717 0.920
10.800 0.920
10.900 0.920
10.983 0.920
11.067 0.920
11.150 0.920
11.250 0.920
11.333 0.920
11.417 0.920
11.500 0.920
11.583 0.920
11.683 0.920
11.767 0.920
11.850 0.920
11.933 0.920
12.017 0.920
12.117 0.920
12.200 0.920
12.283 0.920
12.367 0.920
12.450 0.920
12.550 0.920
12.633 0.920
12.717 0.920
12.800 0.920
12.883 0.920
12.967 0.920
13.067 0.920
13.150 0.920
13.233 0.920
13.317 0.920
13.400 0.920
13.483 0.920
13.583 0.920
13.667 0.920
13.750 0.920
13.833 0.920
13.917 0.920
14.017 0.920
14.100 0.920
14.183 0.920
14.267 0.920
14.350 0.920
14.450 0.920
14.533 0.920
14.617 0.920
14.700 0.920
14.783 0.920
14.883 0.920
14.983 0.920
15.067 0.920
15.150 0.920
15.233 0.920
15.317 0.920
15.400 0.920
15.483 0.920
15.567 0.920
15.667 0.920
15.750 0.920
15.833 0.920
15.917 0.920
16.017 0.920
16.100 0.920
16.183 0.920
16.267 0.920
16.350 0.920
16.450 0.920
16.533 0.920
16.617 0.920
16.700 0.920
16.800 0.920
16.883 0.920
16.967 0.920
17.050 0.920
17.133 0.920
17.217 0.920
17.317 0.920
17.400 0.920
17.483 0.920
17.567 0.920
17.650 0.920
17.733 0.920
17.833 0.920
17.917 0.920
18.000 0.920
18.083 0.920
18.167 0.920
18.267 0.920
18.350 0.920
18.433 0.920
18.517 0.920
18.600 0.920
18.700 0.920
18.783 0.920
18.867 0.920
18.950 0.920
19.050 0.920
19.133 0.920
19.217 0.920
19.300 0.920
