i value
0.000 0.995
0.083 0.995
0.167 0.995
0.250 0.984
0.367 0.984
0.433 0.985
0.533 0.980
0.633 0.976
0.717 0.986
0.800 0.986
0.900 0.985
0.983 0.990
1.067 0.985
1.150 0.985
1.233 0.980
1.317 0.985
1.417 0.981
1.500 0.990
1.583 0.985
1.667 0.990
1.750 0.985
1.850 0.989
1.933 0.985
2.017 0.990
2.100 0.985
2.183 0.990
2.283 0.990
2.367 0.995
2.450 0.995
2.533 1.000
2.617 0.995
2.700 0.995
2.800 0.985
2.883 0.985
2.967 0.980
3.050 0.985
3.150 0.974
3.233 0.978
3.317 0.979
3.400 0.985
3.500 0.985
3.583 0.995
3.667 1.000
3.750 1.000
3.833 1.000
3.933 0.994
4.017 0.994
4.100 0.994
4.200 0.994
4.283 0.995
4.383 1.000
4.467 0.995
4.550 0.995
4.633 0.995
4.733 0.995
4.817 0.990
4.900 0.995
4.983 0.995
5.083 0.995
5.167 0.995
5.250 1.000
5.333 1.000
5.433 0.995
5.517 0.995
5.600 0.994
5.683 0.995
5.783 0.989
5.867 0.990
5.950 0.990
6.033 0.985
6.133 0.985
6.217 0.985
6.300 0.985
6.383 0.986
6.483 0.990
6.567 0.990
6.650 0.990
6.733 0.995
6.833 0.989
6.917 0.989
7.000 0.990
7.100 0.995
7.183 0.995
7.267 1.000
7.367 0.990
7.433 0.989
7.533 0.989
7.617 0.989
7.700 0.989
7.783 1.000
7.867 0.989
7.967 0.985
8.050 0.985
8.133 0.986
8.217 0.980
8.300 0.990
8.383 0.990
8.467 0.991
8.567 0.990
8.650 0.990
8.733 0.986
8.817 0.986
8.900 0.984
8.983 0.985
9.083 0.985
9.167 0.989
9.250 0.995
9.333 0.990
9.417 0.990
9.517 0.995
9.600 0.990
9.683 0.985
9.767 0.976
9.850 0.976
9.933 0.978
10.033 0.977
10.117 0.977
10.200 0.990
10.283 0.986
10.367 0.985
10.467 0.988
10.550 0.993
10.633 0.982
10.717 0.988
10.800 0.976
10.900 0.955
10.983 0.951
11.067 0.973
11.150 0.971
11.250 0.974
11.333 1.000
11.417 1.000
11.500 1.000
11.583 1.000
11.683 1.000
11.767 0.980
11.850 0.977
11.933 0.980
12.017 0.980
12.117 0.979
12.200 1.000
12.283 1.000
12.367 1.000
12.450 0.986
12.550 0.981
12.633 0.971
12.717 0.975
12.800 0.973
12.883 0.978
12.967 0.978
13.067 0.989
13.150 0.990
13.233 0.995
13.317 0.995
13.400 1.000
13.483 1.000
13.583 1.000
13.667 1.000
13.750 1.000
13.833 1.000
13.917 1.000
14.017 1.000
14.100 1.000
14.183 1.000
14.267 1.000
14.350 1.000
14.450 1.000
14.533 1.000
14.617 1.000
14.700 1.000
14.783 0.977
14.883 0.979
14.983 0.979
15.067 0.981
15.150 0.980
15.233 1.000
15.317 1.000
15.400 1.000
15.483 1.000
15.567 1.000
15.667 1.000
15.750 1.000
15.833 1.000
15.917 1.000
16.017 1.000
16.100 1.000
16.183 0.978
16.267 0.975
16.350 0.971
16.450 0.956
16.533 0.967
16.617 0.987
16.700 0.989
16.800 0.990
16.883 1.000
16.967 1.000
17.050 1.000
17.133 0.986
17.217 0.987
17.317 0.988
17.400 0.987
17.483 0.987
17.567 1.000
17.650 1.000
17.733 1.000
17.833 1.000
17.917 1.000
18.000 1.000
18.083 1.000
18.167 0.994
18.267 0.994
18.350 0.990
18.433 0.990
18.517 0.990
18.600 0.995
18.700 0.995
18.783 1.000
18.867 1.000
18.950 1.000
19.050 1.000
19.133 0.995
19.217 0.979
19.300 0.979
