i value
1.967 439.875
2.483 438.463
3.000 438.289
3.517 437.471
4.033 438.567
4.533 437.771
5.050 438.335
5.567 438.514
6.000 439.140
6.500 438.120
7.017 438.085
7.533 438.067
8.050 438.524
8.567 438.485
9.067 438.737
9.583 439.137
10.100 439.326
10.617 438.399
11.117 437.878
11.633 437.584
12.150 437.575
12.667 438.284
13.183 439.058
13.700 440.291
14.200 440.056
14.717 439.912
15.233 439.498
15.750 438.830
16.267 438.210
16.783 438.312
17.283 438.514
17.800 438.571
18.317 439.153
18.833 440.028
19.350 440.243
