i value
0.000 468.857
0.083 450.075
0.167 446.682
0.250 445.994
0.367 443.777
0.433 446.313
0.533 445.256
0.633 446.738
0.717 446.386
0.800 444.937
0.900 444.176
0.983 451.338
1.067 472.231
1.150 483.897
1.233 483.929
1.317 479.281
1.417 476.049
1.500 457.371
1.583 447.677
1.667 446.996
1.750 447.366
1.850 445.758
1.933 442.844
2.017 466.125
2.100 478.620
2.183 477.869
2.283 474.568
2.367 475.940
2.450 454.136
2.533 442.027
2.617 447.088
2.700 451.302
2.800 452.298
2.883 454.131
2.967 469.469
3.050 480.198
3.150 492.458
3.233 499.025
3.317 505.332
3.400 501.356
3.500 490.748
3.583 476.503
3.667 469.754
3.750 459.029
3.833 446.920
3.933 440.392
4.017 440.370
4.100 441.339
4.200 440.690
4.283 440.825
4.383 442.162
4.467 443.768
4.550 444.356
4.633 444.193
4.733 445.161
4.817 444.820
4.900 443.097
4.983 441.356
5.083 442.070
5.167 440.697
5.250 440.681
5.333 438.894
5.433 439.402
5.517 439.643
5.600 439.779
5.683 439.529
5.783 440.967
5.867 440.635
5.950 441.560
6.033 441.317
6.133 441.181
6.217 440.591
6.300 439.458
6.383 437.206
6.483 438.053
6.567 437.884
6.650 437.018
6.733 438.731
6.833 440.789
6.917 438.988
7.000 439.727
7.100 440.889
7.183 442.406
7.267 443.535
7.367 445.214
7.433 449.716
7.533 449.092
7.617 448.648
7.700 446.587
7.783 446.489
7.867 440.662
7.967 441.061
8.050 441.543
8.133 440.281
8.217 440.837
8.300 440.893
8.383 441.099
8.467 438.762
8.567 439.147
8.650 438.731
8.733 438.926
8.817 438.022
8.900 438.729
8.983 439.074
9.083 438.732
9.167 438.299
9.250 438.270
9.333 437.482
9.417 436.813
9.517 436.084
9.600 436.241
9.683 436.786
9.767 437.892
9.850 438.336
9.933 438.252
10.033 438.832
10.117 441.007
10.200 441.755
10.283 441.107
10.367 440.565
10.467 441.049
10.550 441.788
10.633 439.909
10.717 445.302
10.800 457.312
10.900 461.222
10.983 449.268
11.067 455.543
11.150 455.895
11.250 453.198
11.333 448.020
11.417 446.006
11.500 443.553
11.583 445.689
11.683 445.539
11.767 448.234
11.850 450.044
11.933 451.068
12.017 447.903
12.117 456.303
12.200 459.426
12.283 460.640
12.367 457.210
12.450 452.542
12.550 446.928
12.633 441.352
12.717 441.461
12.800 440.331
12.883 437.912
12.967 437.674
13.067 437.952
13.150 437.704
13.233 437.706
13.317 438.179
13.400 439.267
13.483 440.033
13.583 440.326
13.667 442.145
13.750 445.316
13.833 439.075
13.917 439.184
14.017 441.547
14.100 442.358
14.183 445.363
14.267 448.091
14.350 453.951
14.450 454.474
14.533 455.967
14.617 454.910
14.700 455.253
14.783 448.687
14.883 451.153
14.983 447.368
15.067 469.476
15.150 480.243
15.233 473.448
15.317 475.929
15.400 478.689
15.483 453.722
15.567 442.383
15.667 444.563
15.750 444.239
15.833 443.727
15.917 446.594
16.017 449.061
16.100 450.014
16.183 454.030
16.267 456.367
16.350 459.538
16.450 464.496
16.533 455.454
16.617 446.255
16.700 445.258
16.800 442.579
16.883 435.918
16.967 436.645
17.050 436.983
17.133 439.870
17.217 441.720
17.317 443.860
17.400 444.668
17.483 444.706
17.567 443.531
17.650 441.664
17.733 439.542
17.833 438.727
17.917 438.929
18.000 437.973
18.083 438.258
18.167 438.328
18.267 438.946
18.350 438.353
18.433 436.839
18.517 435.941
18.600 439.403
18.700 438.951
18.783 438.534
18.867 441.551
18.950 441.591
19.050 437.606
19.133 438.347
19.217 439.569
19.300 439.476
