i value
0.367 0.702
0.450 0.702
0.550 0.701
0.633 0.701
0.717 0.703
0.817 0.705
0.900 0.709
0.983 0.710
1.083 0.710
1.167 0.708
1.250 0.707
1.333 0.703
1.417 0.703
1.517 0.703
1.600 0.703
1.683 0.705
1.767 0.709
1.850 0.710
1.950 0.710
2.033 0.712
2.117 0.708
2.200 0.703
2.283 0.702
2.383 0.703
2.467 0.702
2.550 0.706
2.633 0.708
2.717 0.709
2.817 0.708
2.900 0.708
2.983 0.708
3.067 0.711
3.150 0.714
3.233 0.717
3.333 0.718
3.417 0.717
3.500 0.715
3.600 0.712
3.683 0.709
3.767 0.708
3.850 0.708
3.950 0.707
4.033 0.709
4.117 0.710
4.200 0.709
4.300 0.710
4.383 0.711
4.467 0.708
4.567 0.710
4.650 0.712
4.733 0.714
4.833 0.717
4.917 0.722
5.000 0.723
5.083 0.723
5.183 0.723
5.267 0.720
5.350 0.716
5.433 0.713
5.533 0.708
5.617 0.704
5.700 0.700
5.783 0.697
5.883 0.696
5.967 0.696
6.050 0.698
6.133 0.699
6.217 0.703
6.317 0.705
6.400 0.705
6.483 0.704
6.567 0.703
6.667 0.699
6.750 0.696
6.833 0.696
6.917 0.695
7.017 0.696
7.100 0.697
7.183 0.697
7.267 0.699
7.367 0.700
7.450 0.702
7.533 0.706
7.617 0.710
7.717 0.713
7.800 0.717
7.883 0.720
7.967 0.720
8.050 0.719
8.133 0.719
8.233 0.716
8.317 0.714
8.400 0.711
8.483 0.710
8.567 0.708
8.650 0.708
8.750 0.708
8.833 0.710
8.917 0.710
9.000 0.713
9.083 0.714
9.167 0.715
9.267 0.715
9.350 0.715
9.433 0.710
9.517 0.706
9.600 0.702
9.683 0.698
9.783 0.698
9.867 0.698
9.950 0.702
10.033 0.705
10.117 0.707
10.200 0.704
10.300 0.704
10.383 0.702
10.467 0.699
10.550 0.700
10.633 0.703
10.733 0.704
10.817 0.702
10.900 0.701
10.983 0.703
11.083 0.703
11.167 0.700
11.250 0.705
11.333 0.710
11.417 0.710
11.517 0.709
11.600 0.715
11.683 0.718
11.767 0.720
11.850 0.725
11.950 0.737
12.033 0.742
12.117 0.747
12.200 0.748
12.283 0.751
12.383 0.743
12.467 0.734
12.550 0.724
12.633 0.720
12.717 0.712
12.800 0.709
12.900 0.706
12.983 0.704
13.067 0.699
13.150 0.694
13.233 0.693
13.317 0.696
13.417 0.699
13.500 0.703
13.583 0.708
13.667 0.711
13.750 0.709
13.833 0.708
13.933 0.711
14.017 0.712
14.100 0.712
14.183 0.712
14.267 0.710
14.367 0.703
14.450 0.699
14.533 0.695
14.617 0.692
14.700 0.690
14.800 0.689
14.883 0.684
14.983 0.680
15.067 0.677
15.150 0.675
15.233 0.677
15.317 0.681
15.400 0.685
15.483 0.688
15.583 0.692
15.667 0.692
15.750 0.692
15.833 0.691
15.917 0.690
16.017 0.687
16.100 0.686
16.183 0.690
16.267 0.692
16.350 0.698
16.450 0.705
16.533 0.713
16.617 0.717
16.700 0.720
16.783 0.720
16.883 0.719
16.967 0.717
17.050 0.713
17.133 0.709
17.217 0.705
17.300 0.702
17.400 0.698
17.483 0.696
17.567 0.698
17.650 0.700
17.733 0.701
17.833 0.705
17.917 0.709
18.000 0.713
18.083 0.717
18.167 0.720
18.250 0.720
18.350 0.720
18.433 0.717
18.517 0.713
18.600 0.711
18.683 0.709
18.783 0.708
18.867 0.707
18.950 0.706
19.033 0.705
19.117 0.704
19.217 0.701
19.300 0.699
