i value
0.000 0.900
0.100 0.900
0.183 0.900
0.267 0.900
0.367 0.900
0.450 0.900
0.550 0.900
0.633 0.900
0.717 0.900
0.817 0.900
0.900 0.900
0.983 0.900
1.083 0.900
1.167 0.900
1.250 0.900
1.333 0.900
1.417 0.900
1.517 0.900
1.600 0.900
1.683 0.900
1.767 0.900
1.850 0.900
1.950 0.900
2.033 0.900
2.117 0.900
2.200 0.900
2.283 0.900
2.383 0.900
2.467 0.900
2.550 0.900
2.633 0.900
2.717 0.900
2.817 0.900
2.900 0.900
2.983 0.900
3.067 0.900
3.150 0.900
3.233 0.900
3.333 0.900
3.417 0.900
3.500 0.900
3.600 0.900
3.683 0.900
3.767 0.900
3.850 0.900
3.950 0.900
4.033 0.900
4.117 0.900
4.200 0.900
4.300 0.900
4.383 0.900
4.467 0.900
4.567 0.900
4.650 0.900
4.733 0.900
4.833 0.900
4.917 0.900
5.000 0.900
5.083 0.900
5.183 0.900
5.267 0.900
5.350 0.900
5.433 0.900
5.533 0.900
5.617 0.900
5.700 0.900
5.783 0.900
5.883 0.900
5.967 0.900
6.050 0.900
6.133 0.900
6.217 0.900
6.317 0.900
6.400 0.900
6.483 0.900
6.567 0.900
6.667 0.900
6.750 0.900
6.833 0.900
6.917 0.900
7.017 0.900
7.100 0.900
7.183 0.900
7.267 0.900
7.367 0.900
7.450 0.900
7.533 0.900
7.617 0.900
7.717 0.900
7.800 0.900
7.883 0.900
7.967 0.900
8.050 0.900
8.133 0.900
8.233 0.900
8.317 0.900
8.400 0.900
8.483 0.900
8.567 0.900
8.650 0.900
8.750 0.900
8.833 0.900
8.917 0.900
9.000 0.900
9.083 0.900
9.167 0.900
9.267 0.900
9.350 0.900
9.433 0.900
9.517 0.900
9.600 0.900
9.683 0.900
9.783 0.900
9.867 0.900
9.950 0.900
10.033 0.900
10.117 0.900
10.200 0.900
10.300 0.900
10.383 0.900
10.467 0.900
10.550 0.900
10.633 0.900
10.733 0.900
10.817 0.900
10.900 0.900
10.983 0.900
11.083 0.900
11.167 0.900
11.250 0.900
11.333 0.900
11.417 0.900
11.517 0.900
11.600 0.900
11.683 0.900
11.767 0.900
11.850 0.900
11.950 0.900
12.033 0.900
12.117 0.900
12.200 0.900
12.283 0.900
12.383 0.900
12.467 0.900
12.550 0.900
12.633 0.900
12.717 0.900
12.800 0.900
12.900 0.900
12.983 0.900
13.067 0.900
13.150 0.900
13.233 0.900
13.317 0.900
13.417 0.900
13.500 0.900
13.583 0.900
13.667 0.900
13.750 0.900
13.833 0.900
13.933 0.900
14.017 0.900
14.100 0.900
14.183 0.900
14.267 0.900
14.367 0.900
14.450 0.900
14.533 0.900
14.617 0.900
14.700 0.900
14.800 0.900
14.883 0.900
14.983 0.900
15.067 0.900
15.150 0.900
15.233 0.900
15.317 0.900
15.400 0.900
15.483 0.900
15.583 0.900
15.667 0.900
15.750 0.900
15.833 0.900
15.917 0.900
16.017 0.900
16.100 0.900
16.183 0.900
16.267 0.900
16.350 0.900
16.450 0.900
16.533 0.900
16.617 0.900
16.700 0.900
16.783 0.900
16.883 0.900
16.967 0.900
17.050 0.900
17.133 0.900
17.217 0.900
17.300 0.900
17.400 0.900
17.483 0.900
17.567 0.900
17.650 0.900
17.733 0.900
17.833 0.900
17.917 0.900
18.000 0.900
18.083 0.900
18.167 0.900
18.250 0.900
18.350 0.900
18.433 0.900
18.517 0.900
18.600 0.900
18.683 0.900
18.783 0.900
18.867 0.900
18.950 0.900
19.033 0.900
19.117 0.900
19.217 0.900
19.300 0.900
