i value
0.000 0.698
0.100 0.705
0.183 0.708
0.267 0.701
0.367 0.699
0.450 0.696
0.550 0.700
0.633 0.708
0.717 0.711
0.817 0.711
0.900 0.716
0.983 0.706
1.083 0.704
1.167 0.703
1.250 0.704
1.333 0.698
1.417 0.705
1.517 0.706
1.600 0.703
1.683 0.714
1.767 0.718
1.850 0.708
1.950 0.707
2.033 0.712
2.117 0.695
2.200 0.695
2.283 0.702
2.383 0.711
2.467 0.707
2.550 0.712
2.633 0.706
2.717 0.709
2.817 0.704
2.900 0.708
2.983 0.712
3.067 0.723
3.150 0.720
3.233 0.721
3.333 0.712
3.417 0.710
3.500 0.710
3.600 0.707
3.683 0.705
3.767 0.711
3.850 0.707
3.950 0.708
4.033 0.715
4.117 0.708
4.200 0.708
4.300 0.713
4.383 0.711
4.467 0.702
4.567 0.715
4.650 0.719
4.733 0.723
4.833 0.725
4.917 0.730
5.000 0.719
5.083 0.721
5.183 0.719
5.267 0.713
5.350 0.705
5.433 0.704
5.533 0.699
5.617 0.697
5.700 0.694
5.783 0.693
5.883 0.698
5.967 0.701
6.050 0.702
6.133 0.702
6.217 0.713
6.317 0.708
6.400 0.699
6.483 0.697
6.567 0.698
6.667 0.693
6.750 0.694
6.833 0.697
6.917 0.695
7.017 0.700
7.100 0.697
7.183 0.698
7.267 0.704
7.367 0.703
7.450 0.708
7.533 0.718
7.617 0.719
7.717 0.716
7.800 0.724
7.883 0.721
7.967 0.718
8.050 0.717
8.133 0.715
8.233 0.711
8.317 0.709
8.400 0.704
8.483 0.709
8.567 0.706
8.650 0.711
8.750 0.709
8.833 0.713
8.917 0.710
9.000 0.722
9.083 0.716
9.167 0.716
9.267 0.713
9.350 0.706
9.433 0.701
9.517 0.696
9.600 0.693
9.683 0.694
9.783 0.706
9.867 0.702
9.950 0.712
10.033 0.711
10.117 0.702
10.200 0.695
10.300 0.701
10.383 0.699
10.467 0.698
10.550 0.706
10.633 0.711
10.733 0.709
10.817 0.686
10.900 0.695
10.983 0.713
11.083 0.712
11.167 0.693
11.250 0.713
11.333 0.722
11.417 0.713
11.517 0.704
11.600 0.724
11.683 0.729
11.767 0.731
11.850 0.736
11.950 0.763
12.033 0.749
12.117 0.755
12.200 0.739
12.283 0.750
12.383 0.719
12.467 0.707
12.550 0.705
12.633 0.717
12.717 0.711
12.800 0.703
12.900 0.696
12.983 0.694
13.067 0.689
13.150 0.688
13.233 0.697
13.317 0.710
13.417 0.712
13.500 0.707
13.583 0.714
13.667 0.711
13.750 0.704
13.833 0.706
13.933 0.723
14.017 0.715
14.100 0.711
14.183 0.704
14.267 0.696
14.367 0.687
14.450 0.696
14.533 0.693
14.617 0.688
14.700 0.687
14.800 0.679
14.883 0.670
14.983 0.675
15.067 0.675
15.150 0.678
15.233 0.687
15.317 0.690
15.400 0.695
15.483 0.690
15.583 0.699
15.667 0.688
15.750 0.687
15.833 0.690
15.917 0.689
16.017 0.682
16.100 0.683
16.183 0.705
16.267 0.699
16.350 0.718
16.450 0.718
16.533 0.725
16.617 0.723
16.700 0.717
16.783 0.715
16.883 0.713
16.967 0.715
17.050 0.704
17.133 0.697
17.217 0.696
17.300 0.699
17.400 0.693
17.483 0.698
17.567 0.706
17.650 0.704
17.733 0.706
17.833 0.714
17.917 0.717
18.000 0.722
18.083 0.728
18.167 0.718
18.250 0.715
18.350 0.715
18.433 0.708
18.517 0.709
18.600 0.708
18.683 0.706
18.783 0.708
18.867 0.704
18.950 0.704
19.033 0.704
19.117 0.701
19.217 0.689
19.300 0.696
