i value
0.367 82.560
0.450 82.119
0.550 82.127
0.633 82.984
0.717 84.286
0.817 84.921
0.900 84.420
0.983 83.589
1.083 82.040
1.167 80.142
1.250 78.534
1.333 77.275
1.417 76.312
1.517 75.680
1.600 75.305
1.683 75.038
1.767 74.915
1.850 74.650
1.950 74.623
2.033 74.616
2.117 74.583
2.200 74.528
2.283 74.828
2.383 75.027
2.467 75.295
2.550 75.644
2.633 76.014
2.717 75.949
2.817 75.687
2.900 75.263
2.983 74.829
3.067 74.184
3.150 73.552
3.233 73.333
3.333 73.167
3.417 73.062
3.500 73.207
3.600 73.875
3.683 74.385
3.767 75.266
3.850 76.247
3.950 77.498
4.033 77.958
4.117 78.078
4.200 77.719
4.300 76.824
4.383 75.760
4.467 75.378
4.567 75.395
4.650 75.147
4.733 75.365
4.833 75.433
4.917 75.177
5.000 74.704
5.083 75.007
5.183 74.972
5.267 74.910
5.350 74.920
5.433 75.082
5.533 74.772
5.617 74.878
5.700 75.048
5.783 75.244
5.883 74.997
5.967 75.021
6.050 74.602
6.133 74.080
6.217 73.094
6.317 72.567
6.400 71.725
6.483 71.665
6.567 71.813
6.667 72.692
6.750 73.468
6.833 74.658
6.917 74.746
7.017 74.636
7.100 74.476
7.183 74.379
7.267 73.980
7.367 74.623
7.450 76.063
7.533 77.060
7.617 78.103
7.717 78.879
7.800 78.921
7.883 77.773
7.967 76.595
8.050 75.134
8.133 74.237
8.233 73.544
8.317 72.961
8.400 72.698
8.483 72.457
8.567 71.857
8.650 71.286
8.750 71.048
8.833 70.699
8.917 70.637
9.000 70.787
9.083 70.851
9.167 71.285
9.267 71.658
9.350 71.877
9.433 71.703
9.517 71.760
9.600 71.289
9.683 70.814
9.783 70.400
9.867 70.391
9.950 70.443
10.033 70.669
10.117 71.383
10.200 71.835
10.300 72.321
10.383 72.448
10.467 72.807
10.550 72.398
10.633 72.662
10.733 73.048
10.817 74.203
10.900 75.029
10.983 76.666
11.083 77.876
11.167 77.968
11.250 77.830
11.333 77.844
11.417 77.358
11.517 76.915
11.600 77.757
11.683 78.424
11.767 78.414
11.850 78.281
11.950 77.916
12.033 76.728
12.117 75.237
12.200 74.793
12.283 74.467
12.383 74.528
12.467 74.681
12.550 75.098
12.633 74.788
12.717 74.408
12.800 73.746
12.900 73.347
12.983 72.367
13.067 71.847
13.150 71.621
13.233 71.484
13.317 71.282
13.417 71.834
13.500 72.293
13.583 72.453
13.667 72.606
13.750 73.291
13.833 73.380
13.933 74.002
14.017 74.750
14.100 75.268
14.183 74.667
14.267 75.065
14.367 75.002
14.450 75.540
14.533 76.602
14.617 78.757
14.700 79.696
14.800 80.297
14.883 79.819
14.983 78.949
15.067 77.659
15.150 77.444
15.233 77.640
15.317 78.197
15.400 78.886
15.483 79.840
15.583 79.849
15.667 79.571
15.750 79.698
15.833 79.702
15.917 79.351
16.017 79.287
16.100 79.277
16.183 78.824
16.267 78.048
16.350 76.936
16.450 75.854
16.533 74.831
16.617 73.575
16.700 72.766
16.783 72.407
16.883 72.129
16.967 71.889
17.050 72.248
17.133 72.734
17.217 73.112
17.300 73.322
17.400 73.429
17.483 73.157
17.567 72.548
17.650 72.157
17.733 72.108
17.833 71.906
17.917 72.014
18.000 72.299
18.083 72.566
18.167 72.448
18.250 72.606
18.350 72.524
18.433 72.525
18.517 72.367
18.600 72.700
18.683 73.302
18.783 74.155
18.867 74.809
18.950 75.514
19.033 75.814
19.117 75.732
19.217 75.525
19.300 75.378
