i value
0.000 90.000
0.433 90.000
0.933 90.000
1.450 90.000
1.967 90.000
2.483 90.000
3.000 90.000
3.433 90.000
3.933 90.000
4.450 90.000
4.967 90.000
5.400 90.000
5.900 90.000
6.417 90.000
6.933 90.000
7.367 90.000
7.867 90.000
8.383 90.000
8.900 90.000
9.317 90.000
9.833 90.000
10.350 90.000
10.867 90.000
11.383 90.000
11.883 90.000
12.400 90.000
12.917 90.000
13.433 90.000
13.950 90.000
14.467 90.000
14.967 90.000
15.483 90.000
16.000 90.000
16.517 90.000
17.033 90.000
17.533 90.000
18.050 90.000
18.567 90.000
19.083 90.000
