i value
0.000 75.647
0.433 72.584
0.933 70.422
1.450 72.679
1.967 72.580
2.483 72.885
3.000 74.189
3.433 72.904
3.933 72.105
4.450 74.132
4.967 73.020
5.400 71.686
5.900 72.803
6.417 70.102
6.933 73.771
7.367 72.930
7.867 73.522
8.383 71.465
8.900 71.538
9.317 71.498
9.833 72.181
10.350 72.013
10.867 74.576
11.383 73.689
11.883 72.128
12.400 72.306
12.917 71.446
13.433 71.338
13.950 73.470
14.467 72.078
14.967 73.643
15.483 71.290
16.000 73.158
16.517 74.862
17.033 72.661
17.533 72.744
18.050 73.207
18.567 71.300
19.083 71.627
