i value
2.283 193.628
2.800 191.413
3.317 191.106
3.833 189.752
4.350 188.428
4.867 187.322
5.383 186.563
5.900 186.207
6.417 186.305
6.933 188.464
7.450 189.421
7.967 190.593
8.483 191.907
9.000 192.840
9.500 191.540
10.017 191.552
10.533 191.248
11.050 190.794
11.567 190.931
12.083 190.987
12.517 191.051
13.033 191.235
13.550 190.274
14.050 189.587
14.567 189.292
15.100 188.445
15.617 189.322
16.133 190.287
16.667 191.370
17.183 192.841
17.717 194.502
18.233 194.233
18.767 194.837
19.283 195.486
