i value
0.000 500.000
0.533 500.000
1.050 500.000
1.750 500.000
2.283 500.000
2.800 500.000
3.317 500.000
3.833 500.000
4.350 500.000
4.867 500.000
5.383 500.000
5.900 500.000
6.417 500.000
6.933 500.000
7.450 500.000
7.967 500.000
8.483 500.000
9.000 500.000
9.500 500.000
10.017 500.000
10.533 500.000
11.050 500.000
11.567 500.000
12.083 500.000
12.517 500.000
13.033 500.000
13.550 500.000
14.050 500.000
14.567 500.000
15.100 500.000
15.617 500.000
16.133 500.000
16.667 500.000
17.183 500.000
17.717 500.000
18.233 500.000
18.767 500.000
19.283 500.000
