i value
0.000 199.996
0.533 191.472
1.050 193.039
1.750 191.363
2.283 192.268
2.800 188.923
3.317 189.936
3.833 186.272
4.350 184.740
4.867 186.737
5.383 185.128
5.900 188.157
6.417 186.763
6.933 195.537
7.450 191.518
7.967 190.988
8.483 194.727
9.000 191.431
9.500 189.036
10.017 191.580
10.533 189.469
11.050 192.457
11.567 192.115
12.083 189.315
12.517 191.897
13.033 190.392
13.550 187.653
14.050 188.679
14.567 187.841
15.100 187.659
15.617 194.776
16.133 192.482
16.667 194.091
17.183 195.198
17.717 195.962
18.233 193.430
18.767 195.504
19.283 197.336
