i value
2.067 814.348
2.567 814.348
3.083 814.348
3.600 814.348
4.117 814.348
4.800 814.348
5.233 814.348
5.733 814.348
6.250 814.348
6.767 814.348
7.200 1188.271
7.700 1188.271
8.217 1188.271
8.733 1188.271
9.250 1188.271
9.683 693.854
10.200 687.854
10.717 795.759
11.217 810.967
11.733 813.970
12.250 810.745
12.767 818.233
13.283 760.288
13.800 859.633
14.300 921.525
15.417 921.525
15.917 921.525
16.417 921.525
16.933 921.525
17.367 820.065
18.383 820.065
18.467 820.065
18.900 820.065
18.967 820.065
