i value
0.000 1134.858
0.517 1251.999
1.050 1114.703
1.733 1125.748
2.267 1070.219
2.783 1336.220
3.317 1208.203
3.817 1510.993
4.333 1469.183
4.850 1585.429
5.367 1571.657
5.883 630.490
6.400 674.201
6.917 645.301
7.433 650.800
7.950 636.204
8.467 640.668
8.983 595.376
9.500 617.010
10.017 591.980
10.533 883.662
11.050 801.396
11.550 594.653
12.067 661.757
12.583 682.118
13.100 682.077
13.617 2899.124
14.133 2905.990
14.650 3199.391
15.700 527.052
16.217 482.888
16.733 533.282
17.267 488.716
17.800 517.905
18.317 467.874
18.850 477.053
19.367 457.517
