i value
2.267 442.227
2.800 440.593
3.317 440.478
3.833 439.297
4.333 438.973
4.850 438.010
5.367 437.595
5.883 437.036
6.400 438.055
6.917 439.183
7.433 439.945
7.950 440.318
8.467 441.143
8.983 440.676
9.500 440.028
10.017 439.866
10.533 439.608
11.050 439.697
11.567 439.757
12.067 440.067
12.583 439.729
13.100 439.793
13.617 439.516
14.133 438.710
14.650 438.430
15.167 438.251
15.700 437.758
16.217 436.342
16.750 436.848
17.267 438.531
17.800 440.379
18.317 441.986
18.850 444.767
19.367 447.110
