i value
0.000 500.000
0.517 500.000
1.050 500.000
1.733 500.000
2.267 500.000
2.800 500.000
3.317 500.000
3.833 500.000
4.333 500.000
4.850 500.000
5.367 500.000
5.883 500.000
6.400 500.000
6.917 500.000
7.433 500.000
7.950 500.000
8.467 500.000
8.983 500.000
9.500 500.000
10.017 500.000
10.533 500.000
11.050 500.000
11.567 500.000
12.067 500.000
12.583 500.000
13.100 500.000
13.617 500.000
14.133 500.000
14.650 500.000
15.167 500.000
15.700 500.000
16.217 500.000
16.750 500.000
17.267 500.000
17.800 500.000
18.317 500.000
18.850 500.000
19.367 500.000
