i value
0.000 447.981
0.517 439.690
1.050 443.368
1.733 438.311
2.267 441.783
2.800 439.812
3.317 439.113
3.833 437.463
4.333 436.695
4.850 436.969
5.367 437.735
5.883 436.318
6.400 442.557
6.917 442.333
7.433 440.780
7.950 439.603
8.467 440.442
8.983 440.222
9.500 439.095
10.017 439.970
10.533 438.313
11.050 440.885
11.567 440.522
12.067 440.645
12.583 438.280
13.100 438.635
13.617 439.498
14.133 436.490
14.650 439.245
15.167 437.388
15.700 436.171
16.217 432.417
16.750 439.019
17.267 447.661
17.800 446.628
18.317 444.204
18.850 446.324
19.367 450.733
