i value
0.000 0.900
0.533 0.900
0.967 0.900
1.050 0.900
1.500 0.900
1.750 0.900
2.017 0.900
2.283 0.900
2.550 0.900
2.800 0.900
3.317 0.900
3.833 0.900
4.350 0.900
4.867 0.900
5.383 0.900
5.900 0.900
6.417 0.900
6.933 0.900
7.450 0.900
7.967 0.900
8.483 0.900
9.000 0.900
9.500 0.900
10.017 0.900
10.533 0.900
11.050 0.900
11.567 0.900
12.083 0.900
12.517 0.900
13.033 0.900
13.533 0.900
14.050 0.900
14.567 0.900
15.083 0.900
15.617 0.900
16.133 0.900
16.667 0.900
17.183 0.900
17.717 0.900
18.233 0.900
18.767 0.900
19.283 0.900
