i value
0.000 0.691
0.533 0.691
0.967 0.707
1.050 0.724
1.500 0.703
1.750 0.822
2.017 0.822
2.283 0.820
2.550 0.830
2.800 0.834
3.317 0.954
3.833 0.957
4.350 0.956
4.867 0.960
5.383 0.960
5.900 0.966
6.417 0.962
6.933 0.957
7.450 0.952
7.967 0.962
8.483 0.970
9.000 0.964
9.500 0.963
10.017 0.961
10.533 0.966
11.050 0.959
11.567 0.965
12.083 0.957
12.517 0.964
13.033 0.963
13.533 0.970
14.050 0.956
14.567 0.970
15.083 0.966
15.617 0.961
16.133 0.965
16.667 0.966
17.183 0.960
17.717 0.963
18.233 0.968
18.767 0.963
19.283 0.961
