i value
1.500 75.448
1.750 75.448
2.017 75.448
2.283 75.448
2.550 75.448
2.800 51.756
3.317 51.756
3.833 51.756
4.350 51.756
4.867 51.756
5.383 19.198
5.900 18.567
6.417 18.656
6.933 18.637
7.450 18.441
7.967 18.548
8.483 18.380
9.000 18.356
9.500 18.254
10.017 18.212
10.533 18.061
11.050 18.066
11.567 17.949
12.083 17.940
12.517 17.953
13.033 17.859
13.533 17.996
14.050 18.145
14.567 18.427
15.083 18.870
15.617 19.310
16.133 19.243
16.667 19.157
17.183 19.090
17.717 18.784
18.233 18.502
18.767 18.529
19.283 18.559
