i value
0.000 81.512
0.533 73.994
0.967 72.053
1.050 74.998
1.500 74.680
1.750 52.644
2.017 53.464
2.283 53.308
2.550 51.980
2.800 47.385
3.317 22.019
3.833 18.161
4.350 18.499
4.867 18.948
5.383 18.366
5.900 18.864
6.417 18.603
6.933 18.405
7.450 17.967
7.967 18.903
8.483 18.021
9.000 18.482
9.500 17.900
10.017 17.753
10.533 18.148
11.050 18.050
11.567 17.894
12.083 17.856
12.517 17.816
13.033 17.679
13.533 18.732
14.050 18.640
14.567 19.265
15.083 20.032
15.617 19.882
16.133 18.398
16.667 18.209
17.183 18.928
17.717 18.502
18.233 18.470
18.767 18.533
19.283 18.363
