i value
0.000 207.602
0.567 240.495
1.100 192.263
1.533 190.049
2.067 192.884
2.500 190.623
3.033 191.195
3.550 187.769
3.983 186.745
4.500 189.947
5.033 193.614
5.467 191.883
6.000 192.725
6.517 189.764
7.033 186.526
7.550 185.251
8.083 191.529
8.600 188.057
9.117 189.980
9.633 189.360
10.167 187.164
10.683 187.855
11.200 187.253
11.717 186.830
12.233 185.461
12.750 186.781
13.267 185.631
13.800 185.969
14.317 191.464
14.833 189.265
15.383 197.387
15.917 189.014
16.467 191.044
16.967 194.540
17.483 188.219
18.000 188.307
18.517 190.212
19.050 193.529
