i value
2.083 1152.341
2.600 1162.855
3.117 1175.176
3.533 1204.679
4.050 1180.944
4.567 1153.358
5.083 1147.777
5.600 1104.621
6.100 1060.157
6.617 1068.290
7.133 1091.286
7.650 1099.076
8.167 1135.357
8.683 1107.603
9.183 1105.212
9.700 1099.273
10.217 1072.719
10.733 1244.800
11.250 1286.031
11.767 1261.492
12.267 1251.870
12.783 1254.912
13.300 1157.440
13.817 1315.015
14.333 1592.156
14.850 1787.682
15.350 1977.434
15.867 1919.708
16.383 1766.584
16.900 1505.557
17.417 1267.525
17.933 1088.236
18.433 1064.471
18.950 1059.956
