i value
0.000 1279.697
0.567 1333.396
1.100 1234.537
1.533 1187.225
2.067 1323.957
2.583 1273.974
3.117 1140.965
3.550 1154.986
4.067 1198.290
4.600 1195.936
5.117 1064.175
5.650 1147.448
6.167 1067.893
6.700 1250.373
7.217 1030.570
7.733 1088.711
8.250 1109.288
8.783 905.970
9.300 1271.748
9.817 1059.005
10.333 1143.844
10.867 1736.667
11.383 939.584
11.900 1103.386
12.417 925.480
12.933 959.152
13.450 1736.006
13.983 2050.060
14.500 1927.277
15.067 2205.051
15.567 1180.123
16.083 1093.854
16.633 1100.883
17.150 1035.894
17.667 1226.862
18.183 847.499
18.700 900.203
19.233 1073.575
