i value
0.000 500.000
0.567 500.000
1.100 500.000
1.617 500.000
2.150 500.000
2.683 500.000
3.200 500.000
3.633 500.000
4.167 500.000
4.683 500.000
5.117 500.000
5.650 500.000
6.167 500.000
6.700 500.000
7.217 500.000
7.733 500.000
8.250 500.000
8.783 500.000
9.300 500.000
9.817 500.000
10.333 500.000
10.867 500.000
11.383 500.000
11.900 500.000
12.417 500.000
12.933 500.000
13.450 500.000
13.983 500.000
14.500 500.000
15.083 500.000
15.567 500.000
16.100 500.000
16.633 500.000
17.150 500.000
17.667 500.000
18.183 500.000
18.700 500.000
19.233 500.000
