i value
0.000 0.920
0.267 0.920
0.533 0.920
0.783 0.920
1.050 0.920
1.300 0.920
1.567 0.920
1.817 0.920
2.083 0.920
2.333 0.920
2.600 0.920
2.850 0.920
3.100 0.920
3.367 0.920
3.533 0.920
3.783 0.920
4.050 0.920
4.217 0.920
4.467 0.920
4.733 0.920
4.900 0.920
5.150 0.920
5.417 0.920
5.583 0.920
5.833 0.920
6.100 0.920
6.267 0.920
6.517 0.920
6.783 0.920
6.950 0.920
7.200 0.920
7.467 0.920
7.633 0.920
7.883 0.920
8.150 0.920
8.317 0.920
8.567 0.920
8.833 0.920
9.000 0.920
9.250 0.920
9.517 0.920
9.683 0.920
10.883 0.920
11.133 0.920
11.300 0.920
11.567 0.920
11.817 0.920
11.983 0.920
12.250 0.920
12.500 0.920
12.750 0.920
13.017 0.920
13.183 0.920
13.433 0.920
13.700 0.920
13.867 0.920
14.133 0.920
14.383 0.920
14.550 0.920
14.817 0.920
15.067 0.920
15.333 0.920
15.583 0.920
15.850 0.920
16.100 0.920
16.350 0.920
16.617 0.920
16.783 0.920
17.050 0.920
17.300 0.920
17.567 0.920
17.817 0.920
18.067 0.920
18.333 0.920
18.500 0.920
18.767 0.920
19.017 0.920
19.283 0.920
19.533 0.920
