i value
0.000 500.000
0.267 500.000
0.533 500.000
0.783 500.000
1.050 500.000
1.300 500.000
1.567 500.000
1.817 500.000
2.083 500.000
2.333 500.000
2.600 500.000
2.850 500.000
3.100 500.000
3.367 500.000
3.533 500.000
3.783 500.000
4.050 500.000
4.217 500.000
4.467 500.000
4.733 500.000
4.900 500.000
5.150 500.000
5.417 500.000
5.583 500.000
5.833 500.000
6.100 500.000
6.267 500.000
6.517 500.000
6.783 500.000
6.950 500.000
7.200 500.000
7.467 500.000
7.633 500.000
7.883 500.000
8.150 500.000
8.317 500.000
8.567 500.000
8.833 500.000
9.000 500.000
9.250 500.000
9.517 500.000
9.683 500.000
10.883 500.000
11.133 500.000
11.300 500.000
11.567 500.000
11.817 500.000
11.983 500.000
12.250 500.000
12.500 500.000
12.750 500.000
13.017 500.000
13.183 500.000
13.433 500.000
13.700 500.000
13.867 500.000
14.133 500.000
14.383 500.000
14.550 500.000
14.817 500.000
15.067 500.000
15.333 500.000
15.583 500.000
15.850 500.000
16.100 500.000
16.350 500.000
16.617 500.000
16.783 500.000
17.050 500.000
17.300 500.000
17.567 500.000
17.817 500.000
18.067 500.000
18.333 500.000
18.500 500.000
18.767 500.000
19.017 500.000
19.283 500.000
19.533 500.000
