i value
0.000 189.357
0.267 190.541
0.533 185.818
0.783 185.200
1.050 183.642
1.300 185.161
1.567 184.774
1.817 183.062
2.083 185.623
2.333 183.310
2.600 184.362
2.850 183.804
3.100 183.277
3.367 183.244
3.533 187.507
3.783 185.435
4.050 190.850
4.217 190.897
4.467 188.493
4.733 195.039
4.900 191.643
5.150 187.328
5.417 190.740
5.583 196.862
5.833 192.704
6.100 189.336
6.267 195.177
6.517 191.390
6.783 193.523
6.950 199.900
7.200 199.214
7.467 193.123
7.633 194.200
7.883 193.976
8.150 192.545
8.317 192.428
8.567 191.440
8.833 191.082
9.000 189.192
9.250 196.149
9.517 192.842
9.683 197.396
10.883 195.692
11.133 191.741
11.300 188.262
11.567 189.680
11.817 185.843
11.983 186.742
12.250 189.706
12.500 192.873
12.750 192.204
13.017 196.095
13.183 189.227
13.433 192.806
13.700 190.163
13.867 186.304
14.133 191.252
14.383 186.815
14.550 197.435
14.817 189.792
15.067 190.403
15.333 191.745
15.583 200.384
15.850 194.524
16.100 204.037
16.350 193.832
16.617 196.504
16.783 194.433
17.050 202.358
17.300 193.093
17.567 196.381
17.817 191.857
18.067 193.757
18.333 194.699
18.500 195.680
18.767 192.077
19.017 192.775
19.283 197.786
19.533 195.013
