i value
2.067 0.888
2.317 0.888
2.583 0.888
2.750 0.888
3.000 0.888
3.267 0.888
3.433 0.888
3.683 0.944
3.950 0.944
4.117 0.944
4.367 0.944
4.633 0.944
4.800 0.968
5.050 0.971
5.317 0.969
5.483 0.967
5.733 0.968
6.000 0.969
6.167 0.965
6.417 0.965
6.683 0.967
6.850 0.968
7.100 0.967
7.367 0.971
7.533 0.971
7.783 0.967
8.050 0.962
8.217 0.960
8.483 0.959
8.733 0.962
8.900 0.966
9.167 0.968
9.417 0.971
9.583 0.971
9.667 0.969
9.933 0.969
10.683 0.969
10.867 0.969
10.950 0.969
11.117 0.969
11.200 0.858
11.383 0.918
11.467 0.971
11.633 0.970
11.717 0.973
11.800 0.976
11.883 0.976
11.967 0.976
12.067 0.974
12.150 0.975
12.233 0.976
12.317 0.978
12.400 0.979
12.483 0.980
12.650 0.980
12.750 0.979
12.917 0.974
13.000 0.971
13.167 0.972
13.250 0.971
13.433 0.969
13.517 0.965
13.683 0.962
13.767 0.959
13.950 0.959
14.033 0.959
14.200 0.959
14.283 0.959
14.450 0.925
15.233 0.925
15.317 0.925
15.483 0.925
15.583 0.925
15.750 0.952
15.833 0.952
16.000 0.952
16.100 0.952
16.267 0.952
16.350 0.971
16.517 0.973
16.600 0.971
16.783 0.969
16.867 0.971
17.033 0.970
17.117 0.968
17.300 0.970
17.383 0.970
17.550 0.967
17.633 0.969
17.800 0.971
17.900 0.970
18.067 0.971
18.150 0.974
18.317 0.972
18.417 0.970
18.583 0.972
18.667 0.973
18.833 0.972
18.917 0.972
19.100 0.972
19.183 0.972
19.350 0.971
19.433 0.970
19.617 0.971
